Symbol,ID
Barx2,12023
Bax,12028
Bcl6b,12029
Bcan,12032
Bcap29,12033
Phb2,12034
Bcat1,12035
Bcat2,12036
Bche,12038
Bckdha,12039
Bckdhb,12040
Bckdk,12041
Bcl10,12042
Bcl2,12043
Bcl2a1a,12044
Bcl2a1b,12045
Bcl2a1c,12046
Bcl2a1d,12047
Bcl2l1,12048
Bcl2l10,12049
Bcl2l2,12050
Bcl3,12051
Bcl6,12053
Bcl7b,12054
Bcl7c,12055
Opn1sw,12057
Bdkrb1,12061
Bdkrb2,12062
Bdnf,12064
Bet1,12068
Bex2,12069
Bex3,12070
Bfsp1,12075
Glb1,12091
Bglap3,12095
Bglap,12096
Bglap2,12097
Bgn,12111
Bhmt,12116
Bicd1,12121
Bid,12122
Hrk,12123
Bik,12124
Bcl2l11,12125
Fabp7,12140
Prdm1,12142
Blk,12143
Blm,12144
Cxcr5,12145
Bmi1,12151
Bmp1,12153
Bmp10,12154
Bmp15,12155
Bmp2,12156
Bmp4,12159
Bmp5,12160
Bmp6,12161
Bmp7,12162
Bmp8a,12163
Bmp8b,12164
Gdf2,12165
Bmpr1a,12166
Bmpr1b,12167
Bmpr2,12168
Bmx,12169
Bnc1,12173
Bnip2,12175
Bnip3,12176
Bnip3l,12177
Smyd1,12180
Bop1,12181
Bst1,12182
Bpgm,12183
Brca1,12189
Brca2,12190
Zfp36l1,12192
Zfp36l2,12193
Brs3,12209
Birc6,12211
Chic1,12212
Bsg,12215
Bsn,12217
Btc,12223
Klf5,12224
Btg1,12226
Btg2,12227
Btg3,12228
Btk,12229
Btn1a1,12231
Btrc,12234
Bub1,12235
Bub1b,12236
Bub3,12237
Commd3,12238
Tspo,12257
Serping1,12258
C1qa,12259
C1qb,12260
C1qbp,12261
C1qc,12262
C2,12263
Ciita,12265
C3,12266
C3ar1,12267
C4b,12268
C4bp,12269
C5ar1,12273
C6,12274
C9,12279
Hyou1,12282
Cab39,12283
Cacna1a,12286
Cacna1b,12287
Cacna1c,12288
Cacna1d,12289
Cacna1e,12290
Cacna1g,12291
Cacna1s,12292
Cacna2d1,12293
Cacna2d3,12294
Cacnb1,12295
Cacnb2,12296
Cacnb3,12297
Cacnb4,12298
Cacng1,12299
Cacng2,12300
Cacybp,12301
Pdia4,12304
Ddr1,12305
Anxa2,12306
Calb1,12307
Calb2,12308
S100g,12309
Calca,12310
Calcr,12311
Calm1,12313
Calm2,12314
Calm3,12315
Aspm,12316
Calr,12317
Car8,12319
Calu,12321
Camk2a,12322
Camk2b,12323
Camk2g,12325
Camk4,12326
Caml,12328
Canx,12330
Cap1,12331
Capg,12332
Capn1,12333
Capn2,12334
Capn3,12335
Capns1,12336
Capn5,12337
Capn6,12338
Capn7,12339
Capza1,12340
Capza2,12343
Capza3,12344
Capzb,12345
Car1,12346
Car11,12348
Car2,12349
Car3,12350
Car4,12351
Car5a,12352
Car6,12353
Car7,12354
Nr1i3,12355
Cat,12359
Cask,12361
Casp1,12362
Casp4,12363
Casp12,12364
Casp14,12365
Casp2,12366
Casp3,12367
Casp6,12368
Casp7,12369
Casp8,12370
Casp9,12371
Casq1,12372
Casq2,12373
Casr,12374
Cast,12380
Ctnna1,12385
Ctnna2,12386
Ctnnb1,12387
Ctnnd1,12388
Cav1,12389
Cav2,12390
Cav3,12391
Runx2,12393
Runx1,12394
Runx1t1,12395
Cbfa2t2,12396
Cbfa2t3,12398
Runx3,12399
Cbfb,12400
Serpina6,12401
Cbl,12402
Cbln1,12404
Cbln2,12405
Serpinh1,12406
Cbr1,12408
Cbr2,12409
Cbs,12411
Cbx1,12412
Cbx2,12416
Cbx3,12417
Cbx4,12418
Cbx5,12419
Rb1cc1,12421
Cck,12424
Cckar,12425
Cckbr,12426
Ccna1,12427
Ccna2,12428
Ccnb2,12442
Ccnd1,12443
Ccnd2,12444
Ccnd3,12445
Ccne1,12447
Ccne2,12448
Ccnf,12449
Ccng1,12450
Ccng2,12452
Ccni,12453
Ccnk,12454
Ccnt1,12455
Noct,12457
Ccr6,12458
Ccs,12460
Cct2,12461
Cct3,12462
Cct4,12464
Cct5,12465
Cct6a,12466
Cct6b,12467
Cct7,12468
Cct8,12469
Cd14,12475
Cd151,12476
Ctla4,12477
Cd19,12478
Cd1d1,12479
Cd1d2,12480
Cd2,12481
Ms4a1,12482
Cd22,12483
Cd24a,12484
Cd28,12487
Cd2ap,12488
Cd33,12489
Cd34,12490
Cd36,12491
Scarb2,12492
Cd37,12493
Cd38,12494
Entpd1,12495
Entpd2,12496
Entpd6,12497
Entpd5,12499
Cd3d,12500
Cd3e,12501
Cd3g,12502
Cd247,12503
Cd4,12504
Cd44,12505
Cd48,12506
Cd5,12507
Cd53,12508
Cd59a,12509
Cd6,12511
Cd63,12512
Cd68,12514
Cd69,12515
Cd7,12516
Cd72,12517
Cd79a,12518
Cd80,12519
Cd81,12520
Cd82,12521
Cd83,12522
Cd84,12523
Cd86,12524
Cd8a,12525
Cd8b1,12526
Cd9,12527
Cdc25a,12530
Cdc25b,12531
Cdc25c,12532
Cdk1,12534
Cdk11b,12537
Cdc37,12539
Cdc42,12540
Cdc45,12544
Cdc7,12545
Arhgap31,12549
Cdh1,12550
Cdh11,12552
Cdh13,12554
Cdh15,12555
Cdh16,12556
Cdh17,12557
Cdh2,12558
Cdh3,12560
Cdh4,12561
Cdh5,12562
Cdh6,12563
Cdh8,12564
Cdh9,12565
Cdk2,12566
Cdk4,12567
Cdk5,12568
Cdk5r1,12569
Cdk5r2,12570
Cdk6,12571
Cdk7,12572
Cdkn1a,12575
Cdkn1b,12576
Cdkn1c,12577
Cdkn2a,12578
Cdkn2b,12579
Cdkn2c,12580
Cdkn2d,12581
Cdo1,12583
Cdr2,12585
Mia,12587
Ift81,12589
Cdx1,12590
Cdx2,12591
Cdx4,12592
Cdyl,12593
Cebpa,12606
Cebpz,12607
Cebpb,12608
Cebpd,12609
Cebpg,12611
Cel,12613
Celsr1,12614
Cenpa,12615
Cenpb,12616
Cenpc1,12617
Cer1,12622
Ces1g,12623
Cetn3,12626
Cfc1,12627
Cfh,12628
Cfi,12630
Cfl1,12631
Cfl2,12632
Cflar,12633
Cftr,12638
Cga,12640
Ch25h,12642
Chad,12643
Chat,12647
Chd1,12648
Chek1,12649
Chkb,12651
Chga,12652
Chgb,12653
Chil1,12654
Chil3,12655
Ovgp1,12659
Chka,12660
Chl1,12661
Chm,12662
Chml,12663
Chrd,12667
Chrm1,12669
Chrm3,12671
Chrm4,12672
Chuk,12675
Vsx2,12677
Cidea,12683
Cideb,12684
Elovl3,12686
Patj,12695
Cirbp,12696
Cish,12700
Socs3,12702
Socs1,12703
Cit,12704
Cited1,12705
Ckb,12709
Ckm,12715
Ckmt1,12716
Coro1a,12721
Clca3a1,12722
Clcn1,12723
Clcn2,12724
Clcn3,12725
Clcn4,12727
Clcn5,12728
Clns1a,12729
Clcnka,12733
Cldn1,12737
Cldn2,12738
Cldn3,12739
Cldn4,12740
Cldn5,12741
Clgn,12745
Clk1,12747
Clk2,12748
Clk4,12750
Tpp1,12751
Cln3,12752
Clock,12753
Clta,12757
Clu,12759
Cmah,12763
Cmas,12764
Cxcr2,12765
Cxcr3,12766
Cxcr4,12767
Ccr1,12768
Ccr9,12769
Ccr1l1,12770
Ccr3,12771
Ccr2,12772
Ccr4,12773
Ccr5,12774
Ccr7,12775
Ccr8,12776
