ProbeID,Symbol,ID
ILMN_2924041,Cbarp,100503659
ILMN_2741780,Gm5084,100503759
ILMN_2741781,Gm5084,100503759
ILMN_2705860,Tpsab1,100503895
ILMN_2995263,Arhgap33os,100504207
ILMN_2741935,H2-Ea,100504404
ILMN_2960822,BC085271,100504508
ILMN_2626796,A730018C14Rik,100504733
ILMN_1222606,A730018C14Rik,100504733
ILMN_2656645,Rell1,100532
ILMN_2737613,Oas1d,100535
ILMN_2929966,Oas1d,100535
ILMN_2984591,AA792892,100554
ILMN_2730424,Ugt2b38,100559
ILMN_2790312,Slc15a4,100561
ILMN_2687204,Slc15a4,100561
ILMN_1248696,Lrrc8c,100604
ILMN_2600627,Noc4l,100608
ILMN_2957862,Noc4l,100608
ILMN_2796028,Nsun5,100609
ILMN_1245761,Nsun5,100609
ILMN_1219921,Nsun5,100609
ILMN_2604056,Nsun5,100609
ILMN_1221895,Nsun5,100609
ILMN_1224250,N4bp2l1,100637
ILMN_2941712,Upk3b,100647
ILMN_2941715,Upk3b,100647
ILMN_2941714,Upk3b,100647
ILMN_2624497,Psph,100678
ILMN_2697174,Trrap,100683
ILMN_1229547,Spon2,100689
ILMN_1259798,Pds5b,100710
ILMN_1227242,Tent2,100715
ILMN_1220586,Tent2,100715
ILMN_2746475,Ugt2b34,100727
ILMN_1232412,Mapre3,100732
ILMN_1259737,Dcun1d4,100737
ILMN_2883795,Dcun1d4,100737
ILMN_3161250,Usp30,100756
ILMN_2436772,Ube3c,100763
ILMN_2642876,Rita1,100764
ILMN_2646001,Rita1,100764
ILMN_2803878,Rita1,100764
ILMN_2654197,Tbc1d14,100855
ILMN_2611037,Hscb,100900
ILMN_2740652,Hscb,100900
ILMN_3023656,Tyw1,100929
ILMN_3096175,Tyw1,100929
ILMN_2730138,Tyw1,100929
ILMN_2668462,Emilin1,100952
ILMN_2990864,Rab28,100972
ILMN_2739698,Rab28,100972
ILMN_2600268,Akap9,100986
ILMN_2678495,Akap9,100986
ILMN_2627300,Akap9,100986
ILMN_2627299,Akap9,100986
ILMN_2461853,Zfp513,101023
ILMN_2936604,Zfp513,101023
ILMN_1257753,Zfp513,101023
ILMN_1256121,Zfp282,101095
ILMN_2807449,Snx21,101113
ILMN_2964473,Tmem168,101118
ILMN_2752345,Tmem168,101118
ILMN_1249517,Tmem168,101118
ILMN_1252621,Itfg2,101142
ILMN_1230054,Bmt2,101148
ILMN_1259980,Pot1a,101185
ILMN_2594311,Parp11,101187
ILMN_1221241,Parp11,101187
ILMN_2957944,Zfp956,101197
ILMN_2700050,Hepacam2,101202
ILMN_2684455,Tada3,101206
ILMN_2656604,Tada3,101206
ILMN_2857086,Tra2a,101214
ILMN_2706857,Brk1,101314
ILMN_2958417,Brk1,101314
ILMN_2740195,Dyrk4,101320
ILMN_2650183,Eogt,101351
ILMN_2623561,Fbxl14,101358
ILMN_2972232,Fbxl14,101358
ILMN_2643150,Dhx32,101437
ILMN_3136355,Phrf1,101471
ILMN_3059135,Phrf1,101471
ILMN_1243564,Plekha1,101476
ILMN_2708877,Plekha1,101476
ILMN_2619707,Slco2b1,101488
ILMN_1244025,Ric8a,101489
ILMN_2619390,Inpp5f,101490
ILMN_2785512,Inpp5f,101490
ILMN_2619389,Inpp5f,101490
ILMN_2987027,Plekhg2,101497
ILMN_2738054,Plekhg2,101497
ILMN_1246655,Plekhg2,101497
ILMN_1260456,Hsd3b7,101502
ILMN_3114124,Hsd3b7,101502
ILMN_2725493,Mob2,101513
ILMN_2879293,Klk9,101533
ILMN_2870320,Prkd2,101540
ILMN_2424268,Wtip,101543
ILMN_2817873,Zfp575,101544
ILMN_1224182,Ccp110,101565
ILMN_3006575,Ccp110,101565
ILMN_1228426,Ccp110,101565
ILMN_3160881,Vrk3,101568
ILMN_1223140,Efl1,101592
ILMN_1213645,AI467606,101602
ILMN_2739163,E430018J23Rik,101604
ILMN_2881039,E430018J23Rik,101604
ILMN_1215755,Grwd1,101612
ILMN_2815889,Grwd1,101612
ILMN_2918203,Nlrp6,101613
ILMN_2833781,Pwwp2b,101631
ILMN_2625831,Spty2d1,101685
ILMN_2635642,Trim68,101700
ILMN_2735625,Numa1,101706
ILMN_2615678,Psip1,101739
ILMN_2796429,Psip1,101739
ILMN_2617478,Psip1,101739
ILMN_2938973,Acp7,101744
ILMN_2645341,Ano1,101772
ILMN_1218180,Spred3,101809
ILMN_2994631,Faap24,101831
ILMN_1216046,Faap24,101831
ILMN_2678269,Ints4,101861
ILMN_2752665,Rrp8,101867
ILMN_1255175,Unc45a,101869
ILMN_1253134,Unc45a,101869
ILMN_1244377,Igflr1,101883
ILMN_1237140,Sf3b3,101943
ILMN_2820559,D8Ertd738e,101966
ILMN_2741445,Usb1,101985
ILMN_3008733,Usb1,101985
ILMN_2685309,Champ1,101994
ILMN_1259503,Ces2a,102022
ILMN_3160963,Smim19,102032
ILMN_2689560,Exoc8,102058
ILMN_2830860,Gadd45gip1,102060
ILMN_2726005,Plekhg4,102075
ILMN_2657421,Phkb,102093
ILMN_1240699,Phkb,102093
ILMN_2807757,Phkb,102093
ILMN_2612125,Arhgef18,102098
ILMN_3043368,Arhgef18,102098
ILMN_3163163,Arhgef18,102098
ILMN_3163347,Mtus1,102103
ILMN_3142257,Mtus1,102103
ILMN_3162801,Mtus1,102103
ILMN_3064383,Mtus1,102103
ILMN_2600463,Mtus1,102103
ILMN_2688834,Psme3ip1,102122
ILMN_1254027,Psme3ip1,102122
ILMN_2706129,Enkd1,102124
ILMN_2648089,Snx25,102141
ILMN_2851429,Snx25,102141
ILMN_2700751,Taf5l,102162
ILMN_2516620,Prmt9,102182
ILMN_1214054,Zdhhc7,102193
ILMN_1215174,Snapc2,102209
ILMN_2918402,Gpat4,102247
ILMN_1252335,Gpat4,102247
ILMN_1256248,Cpne7,102278
ILMN_1251504,Cyp4v3,102294
ILMN_3109076,Dcun1d2,102323
ILMN_2624749,Ankrd10,102334
ILMN_1228129,Cog4,102339
ILMN_2913989,Myzap,102371
ILMN_2801404,Clk3,102414
ILMN_2618038,Hinfp,102423
ILMN_2737296,Lars2,102436
ILMN_2445926,Xylb,102448
ILMN_2593208,Imp3,102462
ILMN_2648409,Cmtm7,102545
ILMN_1233809,Cmtm7,102545
ILMN_2985447,Cmtm7,102545
ILMN_1223335,Ano10,102566
ILMN_3126190,Slc22a13,102570
ILMN_3050107,Slc22a13,102570
ILMN_2687908,Alg9,102580
ILMN_2892292,Alg9,102580
ILMN_2609495,Alg9,102580
ILMN_2749448,Plekho2,102595
ILMN_2691536,Snx19,102607
ILMN_1256066,Snx19,102607
ILMN_2754222,Rpp25,102614
