liver_myc	kidney_myc	lung_myc	lung_mycras	lung_ras	tall_myc	eumyc_myc
12443	12411	13628	12721	14165	101883	105246705
12457	12443	13642	12741	14178	102098	105246948
12479	12499	13649	12767	14181	102294	105247126
12499	12675	13660	12802	14190	102371	105428
12606	12684	13731	12828	14198	102442	105827
12623	12763	13805	12829	14199	102443351	105841
12630	12780	13819	12830	14205	102595	106064
12675	12828	13829	12833	14219	102631530	106389
12686	12829	13855	12834	14254	102631647	106512
12724	12865	13897	12862	14261	102631725	106564
12738	12895	14007	12865	14262	102631780	106633
12739	12908	140721	12869	14263	102631881	106759
12763	12946	140742	12934	14373	102631889	107239
12780	12972	14077	12937	14432	102631965	107242
12846	13019	14081	12953	14461	102632036	107321
12870	13036	14114	12955	14462	102632303	107350
12892	13063	14164	12977	14469	102632394	107526
12909	13086	14165	13009	14560	102632602	107607
12916	13087	14178	13010	14570	102633400	107684
12946	13101	14184	13087	14600	102633811	107723
12972	13105	14190	13088	14605	102633880	107766
13009	13106	14199	13106	14612	102634034	107769
13077	13120	14205	13107	14613	102634072	107975
13082	13121	14231	13120	14675	102634150	108005
13085	13132	14254	13136	14696	102634160	108012
13086	13136	14261	13143	14702	102634683	108022
13087	13170	14262	13198	14726	102634822	108024
13088	13171	14263	13346	14729	102635083	108052
13094	13214	14432	13476	14773	102635305	108058
13095	13419	14461	13479	14778	102635772	108072
13096	13476	14462	13518	14858	102635830	108089
13098	13479	14469	13614	14859	102635948	108105
13101	13480	14560	13617	14863	102636045	108154
13105	13595	14605	13618	15129	102636262	108167329
13106	13619	14612	13628	15130	102636620	108167379
13107	13645	14613	13642	15213	102637244	108168079
13108	13648	14696	13644	15227	102637787	108168208
13112	13649	14702	13649	15360	102638097	108168710
13113	13796	14710	13660	15402	102638315	108168734
13122	13819	14726	13713	15404	102638353	108168815
13123	13829	14729	13731	15413	102638408	108168891
13124	13850	14773	13805	15439	102638466	108655
13170	13885	14778	13808	15446	102638502	108723
13171	13897	14783	13819	15464	102638882	108767
13179	13983	14859	13823	15483	102639511	108960
13353	13992	15018	13855	15507	102639543	108995
13358	14009	15129	13897	15512	102639738	109019
13370	14027	15130	14007	15529	102640140	109202
13421	14060	15186	14062	15531	102640282	109232
13423	14077	15211	140721	15586	102640300	109272
13482	14085	15213	140742	15587	102640368	109342
13595	14121	15227	14077	15896	102640588	109689
13649	14132	15258	14081	15937	102640741	109754
13663	14151	15284	14102	15958	102640771	110095
13688	14164	15360	14114	15959	102640823	110168
13706	14180	15402	14164	16008	102640920	110253
13819	14199	15404	14165	16010	102641704	110333
13835	14233	15412	14178	16011	102941	110351
13849	14245	15413	14181	16012	103161	110521
13850	142681	15446	14184	16205	103213	110557
13884	14275	15464	14190	16399	103284	110759
13897	14373	15483	14198	16421	103710	110760
13909	14377	15512	14199	16476	103724	110761
13982	14402	15530	14205	16561	103806	110762
13998	14420	15531	14219	16593	104001	110763
140492	14423	15586	14231	16598	104086	110785
14067	14431	15587	14254	16600	104175	110786
14068	14453	15896	14261	16716	104215	110787
14069	14461	15931	14262	16826	104252	110829
14071	14527	15958	14263	16909	104263	110880
14073	14537	15959	14432	16918	104271	110902
140781	14560	16007	14461	16977	104681	11302
14102	14569	16008	14462	16981	104709	11303
14121	14598	16011	14469	170442	104759	11426
14132	14600	16012	14538	17064	105171	114570
14151	14619	16145	14560	170757	105242738	114642
14164	14661	16157	14605	170765	105242862	114644
14183	14675	16170	14612	17110	105243233	114713
14198	14711	16205	14613	17112	105244624	11479
14245	14725	16362	14675	17118	105244771	11484
14262	14732	16399	14696	17130	105245179	11496
14263	14735	16407	14702	171463	105245272	11518
14317	14787	16421	14710	17150	105246705	11535
14377	14854	16432	14726	17189	105246848	115486509
14411	14871	16476	14729	17268	105246948	115486873
14453	14874	16526	14745	17286	105352	115486898
14527	14915	16561	14773	17305	105689	115486953
14528	14916	16593	14778	17349	105827	115487809
14560	14933	16598	14858	17427	105841	115488189
14571	15024	16600	14859	17536	105844	115489452
14585	15040	16643	14964	17756	106052	115489463
14600	15107	16716	15122	17762	106347	115489697
14605	15122	16783	15129	17880	106572	115490183
14618	15129	16797	15130	17888	106581	11554
14619	15130	16818	15139	17896	106759	11555
14629	15212	16826	15213	17897	106763	11567
14651	15233	16909	15227	17898	107022	11572
14661	15356	16912	15284	17901	107065	11576
14673	15378	16918	15360	17965	107173	11600
14675	15445	16976	15402	17984	107221	11622
14685	15451	16977	15404	18008	107239	11628
14711	15473	16978	15412	18080	107321	11629
14732	15484	16981	15413	18127	107338	11630
14756	15493	16994	15439	18131	107350	11658
14797	15495	170442	15446	18132	107528	116732
14825	15574	17064	15464	18162	107607	11676
14859	15902	170757	15483	18295	107684	116838
14863	16005	170765	15493	18417	107723	116848
14865	16011	17085	15507	18483	107747	116871
14867	16157	17105	15530	18590	107766	116872
14913	16168	17110	15531	18591	107769	116904
14950	16424	17112	15586	18595	107885	11704
14972	16430	17130	15587	18606	107975	117150
14979	16483	171463	15896	18611	107993	11717
15018	16509	17150	15900	18613	108005	117600
15019	16516	17189	15904	18645	108022	11796
15024	16517	17260	15931	18647	108024	11801
15040	16541	17268	15937	18718	108052	11812
15109	16548	17286	15958	18755	108058	11816
15112	16591	17289	15959	18760	108072	11852
15160	16612	17312	16007	18767	108086	11856
15233	16618	17349	16008	18769	108089	11923
15257	16619	17388	16010	18821	108105	11972
15267	16622	17427	16011	18829	108115	11975
15356	16624	17536	16012	18830	108154	11979
15375	16661	17756	16145	18858	108168669	11997
15439	16784	17760	16157	18979	108168861	12000
15445	16790	17762	16170	18985	108168974	12042
15446	16869	17873	16195	19012	108169076	12043
15451	16956	17880	16205	19025	108655	12045
15458	16974	17888	16210	19073	108670	12047
15473	16976	17896	16362	19153	108672	12051
15483	170484	17897	16400	19159	108686	12053
15486	17067	17898	16421	192187	108705	12075
15493	170745	17904	16432	19223	108723	12142
15496	170750	17912	16476	19263	108767	12143
15529	170752	17984	16498	19266	108797	12145
15586	170761	18003	16526	19267	108811	12192
15902	170765	18018	16561	19273	108829	12226
15903	170789	18113	16592	19285	108927	12259
15959	170799	18127	16593	19418	108960	12260
16000	17113	18128	16598	19659	109151	12262
16005	171166	18131	16600	19699	109181	12265
16145	171282	18132	16643	19739	109186	12274
16151	17155	18162	16716	20230	109202	12298
16157	17194	18186	16792	20257	109225	12309
16169	17242	18218	16797	20272	109241	12331
16173	17287	18293	16818	20277	109246	12332
16180	17288	18295	16826	20278	109263	12346
16194	17289	18441	16909	20292	109305	12354
16325	17295	18483	16912	20304	109319	12362
16363	17306	18537	16918	20315	109342	12363
16391	17309	18591	16956	20324	109685	12371
16424	17434	18595	16977	20346	109934	12380
16427	17436	18606	16978	20347	110084	12394
16439	17449	18611	16981	20349	110095	12444
16529	17527	18613	16994	20350	110168	12458
16548	17532	18645	170442	20355	110253	12475
16561	17536	18647	17064	20356	110351	12479
16621	17714	18708	170757	20404	110454	12480
16774	17720	18718	170765	20411	110521	12482
16784	17762	18755	17110	20446	110557	12483
16816	17918	18762	17112	20452	110593	12488
16835	17930	18764	171207	20471	110612	12493
16880	17966	18767	17150	20517	110785	12494
16912	18010	18769	17189	20538	110786	12495
16913	18041	18821	17260	20617	110787	12508
16918	18048	18828	17268	20618	110880	12509
170442	18104	18829	17281	20671	110891	12515
170460	18194	18830	17286	20672	110902	12517
170716	18295	18858	17289	20680	112406	12521
170719	18399	18979	17305	20692	112418	12522
170728	18400	18985	17313	207175	112694759	12523
170752	18408	19012	17349	20741	11303	12524
171095	18426	19025	17380	20742	11307	12527
17122	18478	19055	17388	20747	11308	12557
171486	18514	19073	17427	20775	114128	12576
171508	18519	19108	17536	207781	114255	12643
17155	18534	19128	17756	208076	11426	12695
17174	18537	19153	17762	20887	11433	12696
17175	18552	19159	17872	20910	114565	12768
17190	18553	192187	17873	209268	114570	12770
