liver_myc	kidney_myc	lung_myc	lung_mycras	lung_ras	tall_myc	eumyc_myc
Atad3a	Npm3-ps1	Eno1	Mta3	Pcbd1	Ccer2	Nsun5
Aif1l	Ccdc86	Ephb2	Gfer	Gadd45a	2810402E24Rik	Psph
Nusap1	Stn1	Ercc2	Mat1a	Dlk1	C78197	Acacb
Cdca2	Nusap1	Ezh2	Prdx3	Dtnb	Gm14230	Dcun1d4
Pfdn4	Cdca2	Sfxn1	Ap1m2	Egr1	2900076A07Rik	Emilin1
Dnaaf2	Lhfp	Fga	Ap1s1	Egr2	Prr22	Heatr4
Ints5	4930555G01Rik	Akr1b8	Apex1	Ei24	Gm16702	Adamts9
Ms4a7	Ints5	Fos	Birc5	Elf3	Gm11579	Hbb-bt
Sccpdh	Ms4a7	Fpgs	Apoc1	Elf5	Gm20324	Ccp110
Ank2	Ampd2	Xrcc6	Aprt	Enc1	Zfp518b	Ano1
Gusb	Actn1	G6pdx	Aqr	Eno1	Noc4l	Enkd1
Kif22	Kif22	Gapdh	Rplp0	Epha2	Nsun5	Taf5l
Dek	Nop2	Gpd2	Areg	Ephb2	Psph	Xylb
Dut	Ehmt2	Gjb3	Arf6	Ercc2	AY036118	Rpp25
Pygb	Pgd	Glud1	Arg1	Sfxn1	Zfp990	Gm12289
Nop2	Adarb1	Grb7	Arg2	Myh7	Prrt4	Gm13391
Ehmt2	Fntb	Emg1	Rhod	P2ry14	Zfp575	Gm12610
Krt7	Chaf1b	Gstp2	Rab27a	Fbp2	Ccp110	Gm26847
Pigh	D17H6S56E-5	Gsto1	Atp5f1	Fbp1	Grwd1	Gm31749
Fntb	Egln3	Thumpd3	Atp6v0d1	Fcgr2b	Psip1	Gm32200
Chaf1b	Zfp979	Gzme	Phb2	Akr1b8	Faap24	Gm26666
Srsf1	Chrnb1	Foxq1	Bex2	Fos	Rrp8	Gm32856
Pwp2	Clic1	Hif1a	Bex3	Frk	Sf3b3	Gm13067
D17H6S56E-5	Acta1	Hk2	C1qbp	Fut2	Champ1	Gm11946
Abcg1	Actb	Hnrnpk	Ciita	Fut4	Exoc8	Nckap5los
Abi1	Rpl31	Hpn	Pdia4	Gapdh	Gadd45gip1	Gm26779
Chrnb1	Impa2	Hprt	Calr	Gch1	Plekhg4	4930578G10Rik
Rpl31	Acta2	Hspa9	Capn5	Gpd2	Dohh	Gm35315
Impa2	Parp1	Ica1	Cask	Gdnf	Fam192a	Gm35808
Supt16	Parp2	Idh3g	Ccng1	Gjb2	Enkd1	Gm11832
Pawr	Gm8940	Igfbp3	Cct3	Gjb3	Ak6	Gm16725
Acvr2b	Afp	Itih2	Cct6a	Gjb4	Xylb	Gm36401
Add1	Agrn	Kcnk1	Cd14	Gjb6	Imp3	Nr6a1os
Adprh	Agt	Khk	Cd44	Gnpat	Pls1	Gm26947
Parp1	Aldh1a1	Kng1	Cd63	Lpcat3	Cmtm7	Gm11788
Parp2	Alox5ap	Krt14	Cdk1	Cxcl1	Rpp25	Gm15239
Afp	Fam57a	Krt18	Cdc45	Guca2a	Mapkapk3	Slc6a20a
Akr1b3	Tirap	Lad1	Cdh16	Gzme	Gm4631	Cenpi
Alox5ap	Anxa3	Ldha	Cdkn1a	H13	Gm26847	Sept10
Slc25a4	Birc2	Rps2	Cdkn2a	H2-Aa	AV099323	Epop
Anxa4	Birc5	Hook2	Cebpa	H2-Ab1	Gm31597	Xpo1
Ap1m2	Apobec1	Mcm6	Cenpa	H2-Eb1	Gm32200	Tmem98
Apaf1	Apoe	Mgmt	Cfi	H2-M2	Gm26631	Rpn1
