"ID","Symbol","liver_normal_batch2_rep1","liver_normal_batch2_rep2","liver_normal_batch3_rep1","liver_normal_batch3_rep2"
68597,"Ccdc167",9.01757733557743,9.00193117458162,8.40541894378708,8.66892377293524
68598,"Dnajc8",8.30601987501435,8.2126215338006,8.23850753055855,8.37475291976703
68603,"Pmvk",8.08866625986928,9.20596890675129,8.11147655483498,8.64951543232907
68606,"Ppm1f",8.69443146352947,8.72576627950073,8.89829523253883,8.61758329612816
68607,"Serhl",8.81412613710823,9.13357359207667,9.02476004976953,8.97208884183547
68611,"Mrpl28",11.2386676455592,11.0018962494978,10.8179669382644,11.1607652210693
68612,"Ube2c",6.48672698689566,6.69568851534429,5.39324447192253,5.38536860761969
68614,"Letmd1",9.00869249874632,9.06926235117243,8.95857828372789,9.09344945838569
68616,"Gdpd3",10.2086051314175,9.99992555613734,9.34302012486946,10.8503066414299
68617,"Mtcl1",6.94146343847133,7.14342012201052,7.17988638328192,6.8799729848392
68618,"Eola1",8.65419400231974,8.65563493207775,8.69928434640171,8.69994529219913
68625,"Cfap57",7.04024260717255,7.05759281367335,7.11484534547287,6.74587733846916
68626,"Elac2",8.22241301671231,8.20560905035204,8.42774428272073,8.3406126525589
68631,"Cryl1",10.1116024434679,10.3418985376686,10.3049515638777,10.4022909242892
68634,"Tm2d3",8.81133430666829,9.06681160885316,8.66066618867617,9.05412139442957
68636,"Fahd1",11.114314334209,11.3558834634678,11.0960786775602,11.0868507425976
68642,"Tmem216",7.85623768291781,7.90973878560222,7.85685101861575,8.01414916800131
68644,"Abhd14a",7.12316256681687,7.47807290716127,7.54043067536506,7.28324869425062
68646,"Nadk2",7.02905060958273,7.1288152967916,6.50552558774043,6.60696666217676
68652,"Tab2",10.4451209436532,10.0236038944515,10.1487867804058,10.2258043022806
68653,"Samm50",7.5836304910989,7.59812957173312,7.33455223198685,7.3741611370513
68659,"Gask1b",6.87120563897634,6.90375217426843,7.07703154244063,7.07463746759506
68662,"Scgb3a1",6.78646467422919,6.74588624127916,6.82371709202995,6.79506612252806
68667,"Trpm4",6.69544083965557,6.66985687817411,6.53859049736908,6.94160461652262
68671,"Pcyt2",11.0570194704256,11.268734778757,10.9079701059838,11.0739757109697
68675,"Fam172a",8.3644334018132,8.27955780929441,8.57130117857379,8.55907031633009
68680,"Fitm1",7.78227671475098,8.35684226036572,7.46174444924882,7.61024417014582
68682,"Slc44a2",7.5724520533808,7.55771729565721,7.63599982692363,7.5344277450807
68686,"1110035H17Rik",7.28370020023498,7.39887333916142,7.0900284700445,7.2054203065006
68690,"1110028F11Rik",7.8422121317166,8.0986477870214,7.25156456512995,7.15239252165686
68705,"Gtf2f2",10.2213944468814,10.0264560628766,9.7374501926432,9.8899644914677
68708,"Rabl2",8.26601473774718,8.04100535978174,7.79945516329445,8.36414677054963
68709,"Cilp2",6.75291783780684,6.83930411359793,6.73463095055569,6.67797493872944
68713,"Ifitm1",10.2597143970052,10.1509963275196,10.0634953374804,10.4674674157609
68718,"Rnf166",8.63199893922759,8.13343289968748,8.0542034313832,8.56775651901272
68724,"Arl8a",10.2858801095442,10.0775367690511,10.4416669603304,11.016664538805
68728,"Trp53inp2",10.7390993388711,11.0314678472334,10.8409648448512,10.9918783628887
68729,"Trim37",6.69882115242822,6.90918047088817,7.08165986588752,6.8084703672567
68730,"Dus1l",11.1684331213855,10.7454851879259,10.6383717047008,10.7521678564082
68731,"Rbfa",9.88425117364779,9.68223788434557,9.68543486756167,9.70571788449702
68734,"Ppp4r3a",8.84371930155588,8.86759593319485,9.42979138000722,9.02650835693607
