"","lung_tumor_kras_rep1","lung_tumor_kras_rep2","lung_tumor_kras_rep3","lung_tumor_kras_rep4","lung_tumor_kras_rep5"
"ILMN_1248788",9.28792876757689,7.79075575011831,7.57274758930278,8.04671477233507,7.34900471802774
"ILMN_2707227",8.05200757311077,7.73019413910334,8.08454267364192,7.65028887089787,8.58627685823853
"ILMN_2896528",12.6305885098494,12.5443064273363,12.690463202665,12.3941997351885,11.8178130943518
"ILMN_2721178",10.557068749264,10.6615665760491,10.6893155427903,10.4899294734161,9.95241365562277
"ILMN_1227723",9.61179713343897,9.14505645836365,9.47955293072387,9.21676101247539,9.20522815444106
"ILMN_3033922",10.4982446335238,10.2982129599786,10.8264243513887,10.8821558282818,11.1549822220974
"ILMN_3092673",12.9217537871097,12.5720577147063,12.8181040457603,12.9142718331642,12.9014290721701
"ILMN_2730714",13.6661692070952,13.4154372691525,13.5583796047237,13.5954345143079,13.726148961113
"ILMN_3162224",10.3791007948721,10.6227324992335,10.4463854793177,10.6025596915811,10.8103858637454
"ILMN_2816356",7.32384290296758,7.28918317851114,7.11370961389853,7.32204080103491,7.40726776424473
"ILMN_2808939",10.4931862217104,10.1897859588602,10.3944091016743,10.1050982379201,10.2335073362895
"ILMN_2634564",9.86652553045574,9.953878140688,9.65655893651248,9.81365094203534,9.8213305441507
"ILMN_1228777",7.04818031981598,7.10956950937069,6.95956731991209,7.10983065427879,6.76047046854045
"ILMN_1216425",7.31497969020231,7.00436093611441,7.17816685478444,7.14252193205863,7.04104306871793
"ILMN_2734484",10.0791930819357,10.0732796702204,10.0789805191268,10.1378236886479,10.3134641127504
"ILMN_2952292",9.01974708134189,9.13516416500404,9.05260201215209,8.75602459559522,9.01009096530777
"ILMN_2660815",12.8762375412323,12.6069834703675,12.6004225640263,12.7294839975359,12.551885463861
"ILMN_1243593",10.031425524138,9.41503529789923,9.77764059895463,9.89602013942346,10.2957832809586
"ILMN_1219797",7.43827205612483,8.13545278418517,7.85910766058186,7.94227623572127,8.2982057987979
"ILMN_1231132",9.69360674151689,9.71471775124668,9.69509776432698,9.45933555531123,9.59294750757592
"ILMN_2718462",8.94077239665401,8.81177605532666,8.80287982032526,8.75909756276747,8.97141781558702
