"ID","Symbol","liver_tumor_myc_batch1_rep1","liver_tumor_myc_batch1_rep2","liver_tumor_myc_batch2_rep1","liver_tumor_myc_batch2_rep2","liver_tumor_myc_batch3_rep1","liver_tumor_myc_batch3_rep2"
216019,"Hkdc1",8.43692256634724,8.96604191022951,8.03103503598317,8.41796198823473,7.89986858424455,10.457063344691
216036,"Gm4796",6.39970955849049,9.07985649197604,7.54204148992379,7.67905947679474,8.25698562777756,7.48104550643699
216049,"Zfp365",6.37478622114272,7.19096202485148,6.67623368844,6.92070109218844,6.85279310423306,6.68176860712689
216080,"Ube2d1",5.82316720475118,8.56799774128069,7.13141298536739,7.04819658196709,7.49023689788213,7.11248342684712
216119,"Ybey",7.59974626065439,7.40506202147309,7.46097586998798,7.28835099288673,7.82142927286638,7.43886042851388
216131,"Trappc10",7.22325987735008,8.48551651537696,7.80035773390556,7.80875267323414,7.9644781051045,7.84396427320987
216134,"Pdxk",8.17487273763508,7.34688891464079,7.45842867258458,8.05878955642489,7.97080488736045,7.55550018818183
216136,"Ilvbl",8.7640779930914,7.80445591163271,7.9389107963824,8.52784333186107,8.2605929848067,8.40972069639805
216144,"Vmn2r81",5.64705462452607,8.91271407966402,7.24055854709531,7.18293092039292,7.49526215416266,7.2007857867293
216150,"Cdc34",8.51282394424021,7.53173455834327,8.52516210091011,7.68910392492192,8.30633856063493,7.56851241870001
216151,"Polrmt",12.278035415396,8.85663871284137,10.4806698867868,10.5381035751964,10.7093426453243,10.5412321491672
216152,"Plppr3",6.93313607314715,7.26076707623171,7.01930156126732,7.33374428445333,7.2112594630374,6.82350098999966
216154,"Med16",10.6372567080869,8.75653279419946,10.042371848234,9.52352877714427,9.67623779188719,9.54544058730729
216156,"Wdr18",8.86984409347317,8.20892370224217,8.70454176485199,8.27603231648575,8.77544773637197,8.40151377372096
216157,"Tmem259",10.4050264907391,10.9636955343554,10.5917590241865,10.4560209218447,10.9398389548695,10.7498251492882
216161,"Sbno2",6.61524113558509,8.90763197277355,7.68653374369814,7.67696539792041,7.95100267419674,7.73124440090197
216169,"Abhd17a",12.8868259128782,8.89496188271834,11.0290999367047,10.7600620772153,11.0231660383902,10.7512475388828
216185,"Gm4799",11.847171709694,9.90541003361636,10.7610462864545,10.6820219183722,11.0050616179755,11.0570336638185
216188,"Aldh1l2",6.9983098813498,7.16837661584342,6.67139220680762,7.37384528804687,7.31017093673592,6.97796456279604
216190,"Appl2",9.14636425919768,7.79123986871455,8.17733304930281,8.92890215403921,7.96753348392004,8.80143956856238
216225,"Slc5a8",6.32355447797849,6.80038712793872,6.61146819625621,6.40495247874699,6.64027313493437,6.59118940189683
216227,"Slc17a8",6.67866229642808,7.29949030960128,6.72827322730444,6.75615884644996,7.14223933904953,7.32963379925481
216233,"Socs2",8.97096526808344,7.05433703700333,7.58362725895883,8.48655936326778,6.95784432139983,9.02257366654711
216238,"Eea1",7.8092475446832,7.43698450903674,7.96082526313779,7.87714566345264,7.29266764514773,7.36182553570172
216292,"Mettl25",7.97924935262868,9.08401865792411,8.85483266831947,8.46829864137613,8.39030401802569,8.41310069338427
216343,"Tph2",6.33927194964313,7.11280855319824,6.76992717122978,6.78055771317177,6.74399442934379,6.60968169193741
216344,"Rab21",7.70698058359881,8.59334223691125,8.03216447069624,8.14348133378253,8.34322282877144,8.08177700776991
216345,"Zfc3h1",9.07155977530645,12.1514465997557,10.7679923939695,10.609957434433,10.2017605036427,10.8663024180791
216350,"Tspan8",8.93073775795403,7.3409092739352,7.34544922322355,7.78664682805155,7.76447698385901,9.64672102864433
216363,"Rab3ip",8.30656369433642,7.72053820320216,8.15406138108315,7.8257496833537,7.81809198681147,8.25630074382883
216393,"D930020B18Rik",6.38649320851108,7.44877011639385,6.8134425942199,6.87000868806925,7.10981013247899,6.87726523504173
216395,"Rxylt1",9.37704807543055,11.6368242355369,10.4885696510101,10.3023252999801,10.8537175068079,10.3831321641366
216439,"Agap2",7.00172828564119,6.58662213344915,6.87659851983487,6.94187622188746,6.50170128372479,6.85652481273358
216440,"Os9",10.8628529315045,9.5910803820247,9.71439036176743,10.667581514044,10.1757093260905,10.3501854251565
216443,"Mars",8.90385276706129,10.0310600588693,9.20996705638629,9.28973905307233,10.1129830217375,9.25713652066509
216445,"Arhgap9",7.43794128710635,7.59350266437175,6.6851554070576,8.42490276032924,7.48764107478489,7.46518866078445
216456,"Gls2",12.333908536134,8.76539637886205,10.659718750859,10.3252981208301,10.5797446041381,10.6338483541649
216459,"Myl6b",6.49607680583099,7.04093391491185,6.75031656001469,6.77680395743736,6.8241987285966,6.72270219543702
216505,"Pik3ip1",6.58540223763014,6.69924475904735,6.48522686154299,6.66519714721653,6.68517106168859,6.73369892290685
216527,"Ccm2",6.77781474543832,9.05328734316302,7.81314965426506,7.65504252451529,8.11666094314113,8.0773510552812
216543,"Cep68",6.90737311492994,7.24194316394671,7.20595259231938,6.99052754008945,6.92230916586976,7.17984325947472
216549,"Aftph",11.2684016388854,8.39120597426349,9.81867137532296,10.0943584402875,9.29404023317166,10.1121451775157
216551,"Lgalsl",8.4286063943799,8.45673059305075,8.61425746159295,8.53365426319962,8.29785761718867,8.32490463288006
216558,"Ugp2",9.6154785551425,7.66253034516269,8.49786918805033,8.82289030731649,8.39381064921044,8.84144765603312
216560,"Wdpcp",7.03715339694488,6.88264610528015,7.03291592246394,6.98296220959553,6.88092797130199,6.94279290108858
216565,"Ehbp1",8.31680290156826,7.41641830971555,8.01628238673451,7.79241249749255,8.14946105465702,7.50828648368352
216578,"Papolg",7.38173657641683,8.76265392614142,8.31443478624212,7.79917889425772,8.07593115576869,8.09923616884797
216616,"Efemp1",6.09053595380349,7.79963670868506,7.05915556738136,6.96907784992176,6.90519278991768,6.84691911775631
216622,"Fem1al",6.88880446456002,7.11692074257821,7.0557351594932,7.19039784735688,6.86422056433881,6.90109684308757
216635,"Hbq1a",6.54747769230552,7.20850866390123,6.8593747831783,6.73942450683822,6.71331552680771,7.19985789558928
216643,"Gabrp",6.40007493174537,7.65177321595234,7.01907471494845,6.90889822399991,7.14822420833784,7.02749914810922
216705,"Clint1",7.32072362844113,7.69484950800939,7.7017184890032,7.46901311415604,7.63513881301456,7.22527585672725
216724,"Rufy1",8.27437612556283,7.36655562932327,7.90152232913747,7.85545462719245,7.964201642158,7.56068491128428
