"","liver_normal_batch2_rep1","liver_normal_batch2_rep2","liver_normal_batch3_rep1","liver_normal_batch3_rep2"
"ILMN_2417611",10.5332185845376,10.5805739447484,10.2192457849969,10.4056966624317
"ILMN_2896528",11.4320566643001,11.6691895230313,11.5561476942947,11.5415134764019
"ILMN_2721178",9.89946276638192,10.2388826311666,9.9985689914361,9.9520473852548
"ILMN_2458837",6.69995426291949,6.70699744870525,6.53346387775737,6.61104803872224
"ILMN_3033922",10.6201658102755,10.5187774749315,10.1612509989424,10.9744803038575
"ILMN_3092673",12.8492886009576,12.7772895818464,12.531309403846,12.745390918598
"ILMN_1230777",12.0151708108169,11.7056923348054,11.3268006572069,11.66272208228
"ILMN_1246069",12.3861016813488,12.5763512302176,12.138716607478,12.4382994574375
"ILMN_1243193",10.5024012233772,10.4699639881103,10.0209838496567,10.3908895110389
"ILMN_1233188",6.486897253848,6.47579453884978,6.47794614190712,6.32123880368113
"ILMN_2543688",7.19615097546078,7.51299683789974,7.02355019960277,6.90489408432251
"ILMN_1259789",6.91189261871301,7.19226157649981,6.88430978698833,7.08525855131702
"ILMN_2816356",6.91048840494753,7.38981439107192,7.09134888257752,7.0604402233327
"ILMN_1224596",7.15948863526233,7.69368357206862,7.43570067220196,7.18627753906405
"ILMN_2808939",10.6277215962028,10.8555565990002,10.292238711078,10.6804607174158
"ILMN_2771349",9.33608790070172,9.80326315012165,9.66274647375644,10.3542345238897
"ILMN_2773981",10.9202216395203,11.0364520148627,10.4983525001966,10.8916175701147
"ILMN_2634564",9.35510363728177,9.00438790358353,8.86734785490316,8.70762437455647
"ILMN_2435996",7.97936272674592,7.37381437661606,6.84618423661639,7.51083375401317
"ILMN_2480021",7.935792362543,7.52928210155271,7.13540777895465,7.54067141377905
"ILMN_1236537",10.3271603997403,10.5692042029846,10.9541148603979,10.8464146677795
"ILMN_2734484",9.64862568597268,9.80323794584077,9.6998255196637,10.1677368760495
"ILMN_2952292",8.33602978660516,8.36901322054953,8.13426657346585,8.3876422744874
"ILMN_1233543",6.68518664057303,6.80929272432313,6.97431738816813,7.11055483694708
"ILMN_1213681",8.77358592968878,9.36429705535538,8.60251616372905,8.75303641994415
"ILMN_2735413",10.0173402246898,10.0464889616202,9.19425321262312,9.61403620028042
"ILMN_2735415",10.3445881905514,10.4860076748603,9.74014453788556,9.67492361552946
"ILMN_1237980",6.80620108133446,6.87015945404098,6.60696470439066,6.59308485699732
"ILMN_2891688",10.0314506460052,9.78320861457004,9.60124577091805,9.93726348172245
"ILMN_2484274",10.1814527969262,9.76658200520107,9.65632830517891,9.97899408738231
"ILMN_2686463",9.02697797623395,8.96780936316221,9.22530042735567,9.01080384685377
"ILMN_2712923",8.08376020030454,8.26778616852161,8.36846401193992,8.24592382017444
"ILMN_2670313",8.22335496062871,7.99124785321748,8.10497588733955,7.98448404792222
"ILMN_2637698",10.3551513156937,10.2010376144711,10.5863188332972,10.4419446400899
"ILMN_2674228",8.22153939148997,8.51925528778463,8.38829918201758,8.39030928915557
"ILMN_2438555",10.9573460119306,11.1488539036466,10.5372427309268,10.689562096725
"ILMN_2848071",11.0353003476062,11.4218905690751,10.8308922623295,11.1121185367753
"ILMN_1248518",12.3235273756458,12.0461033409919,11.3944095506733,11.5992035986732
"ILMN_2658619",11.0451439858096,10.7633750383679,10.976553313688,10.9898835132828
"ILMN_2682917",6.7237594831064,7.00865122858353,6.84797927462786,6.97893897775952
"ILMN_2972403",8.56006199312718,8.99521554810331,7.98222271053147,8.31039124769932
"ILMN_2973337",7.54034165737711,7.61678420792214,7.92337910471249,7.79033769475419
"ILMN_2549368",6.75275197585536,6.59177137996406,6.74613925714247,6.76679018444858
"ILMN_1226653",7.57642844298485,7.77001205875249,7.24428754729934,7.26556507607353
"ILMN_2655105",8.53082574520654,9.14791526640913,9.13937014703657,9.22115218173487
"ILMN_2544634",6.71612993552019,6.67762499153623,6.572689480878,6.70846507510344
"ILMN_2653890",7.1099401562623,6.92284094383661,7.23737703098225,7.29328308330248
"ILMN_1220374",9.8186709683951,9.68681170856644,9.77888396178022,9.90672092631702
"ILMN_2444799",10.1721284313043,10.2047915688245,9.91515330062414,9.94523905953254
"ILMN_2727437",8.57372768777264,8.68686458599568,8.57842053258543,8.85511430102238
"ILMN_2628021",10.3686279296607,10.2852354592733,10.2608151148591,10.4245224961304
"ILMN_2793281",10.2376991536747,10.3822102347408,10.3989658383532,10.4590595223124
"ILMN_1234456",7.44001931663863,7.32527096482773,7.15128431608649,7.27737098988182
