liver_tumor_myc_batch1_rep1	liver_tumor_myc_batch1_rep2	liver_tumor_myc_batch2_rep1	liver_tumor_myc_batch2_rep2	liver_normal_batch2_rep1	liver_normal_batch2_rep2	liver_normal_batch3_rep1	liver_normal_batch3_rep2	liver_tumor_myc_batch3_rep1	liver_tumor_myc_batch3_rep2
ILMN_2417611	8.88450207186783	7.17069273168004	8.75405579256809	7.87583764564722	9.95920660106014	10.0065619612709	11.7768315897499	11.9632824671847	10.8769061531349	10.5050329433989
ILMN_2896528	11.8150908842569	9.71284327536765	11.357348698948	10.5917593479666	10.8430577662859	11.0801906250171	12.9456286881268	12.930994470234	13.092030738819	12.8176221084229
ILMN_2721178	9.4932920678884	9.57550625166238	9.13586316536868	8.77197105777647	9.29349688141122	9.6329167461959	10.6769509683891	10.6304293622078	10.4708329731577	10.1934259946925
ILMN_2458837	6.99269140039688	7.22505219122983	5.44365803331138	5.57295157265171	5.71791998151695	5.72496316730271	6.96257539651693	7.0401595574818	7.11174679475532	6.9895942066771
ILMN_3033922	9.47841552430553	8.55014207326524	8.88723706849647	9.05364342223773	10.2414791906122	10.1400908552682	10.8755886804526	11.6888179853677	10.329718904783	9.80042217070558
ILMN_3092673	11.9796655530257	10.9555172185217	11.0072188073465	11.3120709272912	12.236077069185	12.1640780500738	13.5372554140264	13.7513369287784	12.9072036152012	13.0002790637024
ILMN_1230777	11.4570397378185	7.13446020518694	10.2167259452293	10.5849791723937	11.8409658196346	11.5314873436231	12.9631483284141	13.2990697534872	12.6749549665565	12.4791958819808
ILMN_1246069	12.4485307883284	14.9382119684449	11.8772752173182	10.9468421410705	11.0191486789239	11.2093982277927	12.6876691247982	12.9872519747577	13.7793418087508	13.2620234357788
ILMN_1243193	10.8023309273101	7.05672278419998	9.5537255663612	9.68077886394694	10.250555486101	10.2181182508341	11.3525236463061	11.7224293076883	11.7241948176803	11.2375725312711
ILMN_1233188	7.22159437097041	6.99960884136853	7.0234433850525	6.47997717644277	5.84712219542067	5.83601948042245	7.43948164511734	7.28277430689135	8.14741444400727	8.72213408787264
