"","liver_tumor_myc_batch1_rep1","liver_tumor_myc_batch1_rep2","liver_tumor_myc_batch2_rep1","liver_tumor_myc_batch2_rep2","liver_tumor_myc_batch3_rep1","liver_tumor_myc_batch3_rep2"
"ILMN_2417611",9.86807589314339,8.1542665529556,9.32806777604556,8.44984962912469,9.31932034838186,8.94744713864586
"ILMN_2896528",12.6155729800748,10.5133253711855,11.9463475969622,11.1807582459808,11.7025497449869,11.4281411145908
"ILMN_2721178",9.5657081598707,9.64792234364468,9.74182905033938,9.37793694274717,9.7924509962047,9.5150440177395
"ILMN_2458837",6.43976863775389,6.67212942858685,6.42569231471392,6.55498585405425,6.68263527599576,6.56048268791754
"ILMN_3033922",9.8140665861524,8.88579313511211,9.26592368815982,9.43233004190108,9.61538122327278,9.08608448919536
"ILMN_3092673",12.3724000314335,11.3482516969295,11.6204303391191,11.9252824590638,11.9012576050208,11.994333053522
"ILMN_1230777",12.9191824178434,8.59660288521184,10.3909309364116,10.759184163576,11.0386072953493,10.8428482107736
"ILMN_1246069",11.6305303032237,14.1202114833402,13.2442282197431,12.3137951434954,13.2303892914306,12.7130709184586
"ILMN_1243193",11.8820249866833,8.13641684357321,9.8055713036374,9.93262460122314,10.3926550210309,9.90603273462167
"ILMN_1233188",7.54335481575329,7.32136928615141,7.66321844347983,7.1197522348701,7.18587894079705,7.76059858466242
"ILMN_2543688",9.88032667710872,8.50912055749156,8.95655271213486,9.0425427577478,9.03497710418115,9.74482189513675
"ILMN_1259789",6.88703384815034,7.02081559477415,6.99736558466584,6.84319092980491,6.87277378190746,7.10236858947077
"ILMN_2816356",6.80105421767662,6.86896102429016,6.9593717588959,6.63638663801624,7.07669312117724,6.66757896584415
"ILMN_1224596",7.27893696843402,7.56349966064475,7.3521377504997,7.37470188054658,7.50762493300397,7.45040869410726
"ILMN_2808939",11.2089274227422,8.30198561012723,10.0332292928853,9.22239435662948,9.79732624092886,9.96887617529526
"ILMN_2771349",9.45756588314311,8.05512078079835,9.45446252420971,8.49703911314314,8.38725704332625,8.68661464720382
"ILMN_2773981",11.5548818102434,8.26675722881857,9.99137748824472,9.54690975878136,9.97582058201681,10.129170249081
"ILMN_2634564",10.304621884158,8.11539175326682,9.36573105662098,8.66202292510095,9.78934018534116,9.02293310778646
"ILMN_2435996",7.75263043611661,7.28164392258061,7.04186366713675,7.49433113519424,8.38517545924064,7.1471784558228
"ILMN_2480021",7.67362909678469,7.39910091933129,7.19574088200524,7.48249149842973,8.37951173014377,7.08771592165322
"ILMN_1236537",6.0469270732488,9.01287649412098,7.78547563492252,7.72641039517347,7.33346092958427,7.27426017505932
"ILMN_2734484",10.4535456677342,8.05671530104554,9.59855886445553,9.11955148627409,9.14943384136559,9.15297774546429
"ILMN_2952292",7.94768098206248,7.83932137636856,7.96396178611549,7.73147349271483,8.02032049884028,7.85824893919149
"ILMN_1233543",7.50600429098322,6.81246303545088,7.04538829527873,7.56827546126489,7.10183097123438,6.9214399250902
"ILMN_1213681",8.30339325714398,9.04804314344986,8.71823259906088,8.24203860084749,8.93972988720438,8.80287171407493
"ILMN_2735413",8.71159967109984,7.5106008446914,8.19593448299113,7.39849614609686,8.40750754895509,8.44246285353938
"ILMN_2735415",8.82455887558485,7.75357504855716,8.37581799851758,7.49455206962607,8.37906079549651,8.90683698464386
"ILMN_1237980",6.86655228158427,7.11951672293629,6.83659728160803,6.91131623591881,7.32851385589621,6.8957106356181
"ILMN_2891688",12.4080853241026,8.02529004230712,10.5629213059161,9.73237905652624,10.4065777299465,10.1648726404307
"ILMN_2484274",12.489325026508,8.49835863543633,10.5550152570329,10.2763122001284,10.7910817031598,10.3529581635676
"ILMN_2686463",8.2692167650067,8.82101951309134,8.65985023429112,8.55104451121354,8.68177192052666,8.28780589016475
"ILMN_2712923",7.37146939520055,8.19133714448763,7.93683440925584,7.75739286207643,7.95282943997116,7.47855636807292
"ILMN_2670313",7.9427147602429,7.30113158730054,7.82355633559333,7.35771857265791,8.00932806327502,7.29708972356062
"ILMN_2637698",9.97767191722946,10.5877981190082,10.0524356775799,10.7490716302689,9.85202995407112,10.4774028105553
"ILMN_2674228",8.78992829333842,7.91585080326533,8.61773689624046,8.10694909631255,8.28677966053262,8.40009254012186
"ILMN_2438555",10.9825993313734,8.25016599521514,9.74496258110151,9.0481052015243,9.93078611353249,9.74167675701869
"ILMN_2848071",8.61247923702104,7.6795724137689,8.55473907992671,7.48022251207494,8.54926348447853,7.99987822509968
"ILMN_1248518",9.83348890915229,7.74287362636187,9.19860623811559,7.6897475137529,9.41355023431897,8.85082108484085
"ILMN_2658619",14.0280105696916,9.13294798594436,11.2323496980736,12.0075677589591,11.631625695612,11.4503739586274
"ILMN_2682917",6.88119817020197,6.77348637628358,6.98692675347345,6.71501156336081,6.64174171796073,6.9656890581761
"ILMN_2972403",8.68352064229593,7.30550781955956,7.81953172842976,7.53816494192587,7.87373660552293,8.74662364783243
"ILMN_2973337",6.88373432978133,7.01780855635865,7.260848054172,6.9189902990517,6.90545586772224,6.71779155133402
"ILMN_2549368",6.58367326618371,6.63778107688595,6.78136009603224,6.52429728992323,6.41173244801725,6.72551885216659
