"ID","Symbol","kidney_normal_batch1_rep1","kidney_normal_batch1_rep2","kidney_normal_batch2"
11302,"Aatk",8.47708698690316,8.70656066825256,8.34096084784075
11303,"Abca1",6.59131866174638,6.73466402291894,7.00692784889783
11304,"Abca4",6.81636452713474,7.6483070923492,7.06629106972227
11305,"Abca2",8.4104945313014,8.208203261653,7.90757633495021
11306,"Abcb7",10.8131438970053,10.5259718345385,11.0593195843251
11307,"Abcg1",6.88785280726856,6.97916736901567,7.09523794436227
11308,"Abi1",9.2213204962965,8.90773000953895,9.29691656326848
11354,"Scgb1b27",6.66586390288408,6.69578296956604,6.59955296441828
11363,"Acadl",9.57651885702487,9.48416576585749,9.28705840660779
11364,"Acadm",15.4524467914563,15.478205986719,15.2819885787684
11370,"Acadvl",12.5412149186808,12.6899512544292,12.3068854978142
11409,"Acads",11.5974385848311,10.8216496868428,10.8783940059943
11416,"Slc33a1",9.02489793768418,8.94685612272898,8.69671780940505
11419,"Asic1",6.63494727822066,6.40199748480955,6.56172558345992
11421,"Ace",9.09386839751244,8.9141010807303,8.71505684607979
11425,"Apoc4",6.39304353625923,6.17613442017226,6.29274685019574
11426,"Macf1",8.85518242719784,8.77432549342107,8.90986195478714
11428,"Aco1",10.9410984372094,11.0905832376048,10.9130566778749
11429,"Aco2",13.6801547347538,13.5046361758449,13.1305394268184
11430,"Acox1",9.13992023198782,8.20050670582359,8.39677547874755
11431,"Acp1",10.0180394923126,10.1951084610914,9.53195108741754
11432,"Acp2",8.98389446920705,9.24902095041221,9.06649919489035
11433,"Acp5",8.36273529347907,7.84112199549334,7.46390790793068
11435,"Chrna1",6.38430269681417,6.21338054999676,6.52587749145217
11438,"Chrna4",10.3647463411992,10.5344536152895,10.5892709425257
11443,"Chrnb1",7.88239661037959,8.33569929652678,8.36514174702465
11444,"Chrnb2",6.88871753802949,6.5050496470314,6.75734901840563
11450,"Adipoq",6.63387258403302,6.65051267444094,6.53894434130618
11459,"Acta1",6.58254337429733,6.310596866036,6.76939152104025
11461,"Actb",12.0739786435183,12.5007675280337,10.8250359817421
11464,"Actc1",6.63684403240387,6.49859800652618,6.59066141731722
11468,"Actg2",7.95463871187118,6.207913435064,6.92886812020138
11472,"Actn2",7.67039472667383,7.78998307199,7.72987304246885
11474,"Actn3",6.91384381171246,6.72055843179312,6.87918616330882
11475,"Acta2",10.0488990578094,8.95013992432614,9.00931090620368
11477,"Acvr1",8.66356388726642,8.84705353634862,9.02634205739765
