"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_2820305",-4.42026576897904,9.49914623785238,-24.3272041610719,4.64922575835865e-07,0.00233109460430635,6.89739227278665
"ILMN_1218223",-5.4708564672773,10.8592048587518,-23.2161648206294,6.0819231563872e-07,0.00233109460430635,6.70737977180395
"ILMN_1238276",4.88518624391605,11.3974776970649,23.1899082968677,6.12158278486654e-07,0.00233109460430635,6.70269643160867
"ILMN_2626968",-4.57378991852882,9.71009632906692,-22.297690652339,7.6682522474206e-07,0.00233109460430635,6.5379140193735
"ILMN_1258039",-4.80254209327786,11.0064893346174,-21.7659349344596,8.807356458286e-07,0.00233109460430635,6.43424895736827
"ILMN_2769918",5.22362369106556,9.49877646753152,21.5308854388773,9.37331001061295e-07,0.00233109460430635,6.38705744000769
"ILMN_1248830",5.66559563601434,10.7907612873483,21.5097718337216,9.42620051680011e-07,0.00233109460430635,6.38277627347747
"ILMN_2643513",4.28537692520649,11.0444581600603,21.3233992772287,9.90854355726186e-07,0.00233109460430635,6.34468027309884
"ILMN_2699805",-5.76660279857117,10.4785379668796,-21.0039797651984,1.08041203663465e-06,0.00233109460430635,6.27808956862761
"ILMN_2800986",-4.80972102838351,11.4306990252181,-20.7439646818691,1.16036561693543e-06,0.00233109460430635,6.22264111919306
"ILMN_1212702",-5.08725542166217,12.9649759718256,-20.5898149664517,1.21103351222115e-06,0.00233109460430635,6.18922938642971
"ILMN_2836654",4.69259079983893,12.3165256328259,19.5808928053054,1.61472046968046e-06,0.00233109460430635,5.96015275978138
"ILMN_2739027",-4.44408156485602,12.342225199815,-18.9506617229561,1.94700260605196e-06,0.00233109460430635,5.80733391029359
"ILMN_1244847",-4.75252069456752,10.7191101947965,-18.9265762636216,1.96121092066603e-06,0.00233109460430635,5.80133669130108
"ILMN_2846775",3.98583271363618,9.66050444361474,18.9209620676794,1.9645402185797e-06,0.00233109460430635,5.79993707172481
"ILMN_2844820",-4.61719006433311,10.8548360389679,-18.8041321982291,2.03534588319307e-06,0.00233109460430635,5.77066487732903
"ILMN_2600365",-4.2157976218253,10.2099723913786,-18.6258669857671,2.14922348123826e-06,0.00233109460430635,5.72545539305973
"ILMN_1248518",-4.78679265061608,10.2052032391605,-18.2709896764899,2.39889074579063e-06,0.00233109460430635,5.633452345968
"ILMN_1250364",-4.20789699351835,10.6788558226009,-17.8790791430017,2.71504273339948e-06,0.00233109460430635,5.52864608040727
"ILMN_1220761",-4.44057463226478,11.5801135370425,-17.7060168328054,2.87001142545412e-06,0.00233109460430635,5.48125963164437
"ILMN_2604310",-4.48360420579726,11.0681005874793,-17.4936100036058,3.07457400026388e-06,0.00233109460430635,5.422148267001
"ILMN_2785586",-3.98190895957448,12.2723138150509,-17.4238472362959,3.14544733142751e-06,0.00233109460430635,5.40250109206059
"ILMN_2459219",-3.86922765322019,9.40343666802891,-17.4022963744022,3.16772636450531e-06,0.00233109460430635,5.39640823910653
"ILMN_1252618",-3.4810562970827,10.6531082019926,-17.3577964186949,3.21431660930963e-06,0.00233109460430635,5.38379192299824
"ILMN_1226839",4.54008211791509,12.1214896292389,17.3043361106288,3.27135192716531e-06,0.00233109460430635,5.36857205486245
"ILMN_2757699",-3.26101610464975,11.1043458281158,-17.2256530107407,3.35746442545715e-06,0.00233109460430635,5.34604514732809
"ILMN_2631704",4.50224499228224,10.0738030567174,17.1990403842579,3.38718787613761e-06,0.00233109460430635,5.3383917514702
"ILMN_2759484",5.12289902324933,11.9798389375115,17.185368793773,3.40257718878877e-06,0.00233109460430635,5.33445324958498
"ILMN_1240164",3.65169064868128,9.29571483979904,17.1697724964889,3.42023299036099e-06,0.00233109460430635,5.3299546688236
"ILMN_2735046",-5.68001572935028,10.4913403569118,-17.1511563791605,3.44144784395652e-06,0.00233109460430635,5.32457721176725
"ILMN_2922560",-3.56018910875668,11.0044604259337,-17.137228895179,3.45742022470911e-06,0.00233109460430635,5.32054852378958
"ILMN_3009440",-3.2565727475767,8.88313570058778,-17.0833793769096,3.51999732511245e-06,0.00233109460430635,5.30492675534786
"ILMN_1224635",3.45386389872404,11.6696654487329,17.0352003433326,3.57711011582475e-06,0.00233109460430635,5.29088890684259
