"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_2909336",-4.12295836319881,8.28293763604358,-31.8774414204192,4.07421857230112e-09,7.06102820765507e-05,11.0297534353199
"ILMN_2689426",-3.83272674694545,8.22414551738246,-26.5940895120111,1.51740382616015e-08,9.59328820199029e-05,10.1098271313383
"ILMN_3094506",-3.5565720743816,9.19582190185151,-25.9527288291231,1.81093258453135e-08,9.59328820199029e-05,9.97665302180754
"ILMN_1215919",-3.5160384408993,9.70284927438722,-24.4532875396752,2.78595328959348e-08,9.59328820199029e-05,9.64338076300028
"ILMN_1224014",-5.51085920511186,9.29420492698677,-24.1953804836717,3.00800772770079e-08,9.59328820199029e-05,9.58275548268702
"ILMN_1253304",-2.71535524647073,8.05992950633522,-23.8662070190153,3.32120069308994e-08,9.59328820199029e-05,9.50388794095174
"ILMN_2922560",-3.25959919026042,8.6370793416729,-22.617474706582,4.89692953428554e-08,0.000103205338244128,9.18870434753797
"ILMN_2767216",-4.00896433698265,8.16362876249544,-21.8526713274197,6.27690796648807e-08,0.000103205338244128,8.98230029137064
"ILMN_2606210",-3.95242144009615,8.25049773867645,-21.7747774159527,6.44069391354672e-08,0.000103205338244128,8.96067352170032
"ILMN_2973824",-2.33661145709424,7.89875918759965,-21.745564930239,6.50336478959508e-08,0.000103205338244128,8.95253327925765
"ILMN_2678421",-3.46458339145792,8.13719350047046,-21.5788380938234,6.87457655901684e-08,0.000103205338244128,8.90576251060532
"ILMN_1238603",-4.81603747710091,8.78408817572871,-21.1560493895638,7.92867058449944e-08,0.000103205338244128,8.78474131481083
"ILMN_2641228",-3.37400195534755,8.69434676086318,-20.6561767348509,9.41935138489224e-08,0.000103205338244128,8.63703001378419
"ILMN_2768252",-4.56804171301995,8.49810526645671,-20.6393635823132,9.47475555791478e-08,0.000103205338244128,8.63197214806468
"ILMN_1250689",-3.15671987174736,8.30064579238408,-20.0220798164776,1.17896298661209e-07,0.000103205338244128,8.44209566618336
"ILMN_1248328",-3.12007285287729,8.09510838263382,-19.9233132901225,1.22166473689921e-07,0.000103205338244128,8.41094249743943
"ILMN_2700982",-3.91338971481315,10.079992165215,-19.8514226926745,1.25385090450414e-07,0.000103205338244128,8.38812926400206
"ILMN_2667396",-2.89393711190154,8.29132125092077,-19.7856256141229,1.28415431292632e-07,0.000103205338244128,8.36714754040588
"ILMN_2656422",-3.95340873390519,10.026175357936,-19.7672204053022,1.2927791001795e-07,0.000103205338244128,8.36126082695677
"ILMN_3147074",-2.8085112610024,8.56678647775278,-19.7021208583848,1.32381671948654e-07,0.000103205338244128,8.34037752518404
"ILMN_2817864",-2.57263662907898,7.71405662566379,-19.6065372020037,1.37093240538609e-07,0.000103205338244128,8.30953936216025
"ILMN_1220170",-4.25017585117934,9.27987633306187,-19.5253478006556,1.41245075014222e-07,0.000103205338244128,8.28317962998429
"ILMN_1247220",-4.18531232562553,8.69627323167521,-19.4935617434976,1.42909249862467e-07,0.000103205338244128,8.27281795677741
"ILMN_2737704",-3.15106769824417,8.66421814748967,-19.4503673395362,1.45206485578496e-07,0.000103205338244128,8.2586995702233
"ILMN_2765335",-2.42425175690193,8.38623343151341,-19.3829918139678,1.48873893953217e-07,0.000103205338244128,8.23659007514192
"ILMN_2930707",-3.19409571980388,8.1275548806199,-18.9307678880192,1.76393023230023e-07,0.000117579518676905,8.0853862880112
"ILMN_2649199",-4.90885284487505,9.03893950133872,-18.8111115392668,1.84610454732754e-07,0.00011813605959923,8.04454463371226
"ILMN_2669714",-3.93987856562239,10.041552625709,-18.7240733948526,1.90860866007642e-07,0.00011813605959923,8.01461244995082
"ILMN_2590034",-3.13572937464926,9.31108035370901,-18.4482397053039,2.12312595710267e-07,0.00012244450592688,7.91848835835523
"ILMN_1216136",-2.92329783478124,8.31494380565565,-18.4075256926088,2.15704928355606e-07,0.00012244450592688,7.90413497652411
"ILMN_1220516",-3.86236882344254,8.47998869512367,-18.3684722450994,2.19016772473215e-07,0.00012244450592688,7.89032662952516
"ILMN_2773918",-2.38440226935705,7.76445425395586,-18.2795515772887,2.26774876395377e-07,0.000122819855712758,7.85873810697619
"ILMN_2835423",-4.52734620207274,8.48295128436166,-18.1034944330604,2.43072885192482e-07,0.000126160338378469,7.79558057853816
"ILMN_3163288",-3.61770488631156,12.1333592852862,-18.0117634483413,2.52088480319005e-07,0.000126160338378469,7.76234630708307
"ILMN_2930897",-4.57004645223684,9.27336314649872,-17.9850863054233,2.54781134570792e-07,0.000126160338378469,7.75263863134028
"ILMN_2859613",-4.8253188086696,8.74701189551574,-17.5979713471535,2.97766127008575e-07,0.000143349576310712,7.60957684129381
"ILMN_1236788",-3.65318961088559,8.65191486944309,-17.5145607392805,3.08071222521632e-07,0.000144302225878984,7.57820537406565
"ILMN_2598916",-4.28292500560677,8.34371098312052,-17.1596293471048,3.56688439314355e-07,0.000162678087940976,7.4424849372457
"ILMN_2596560",-3.64142884298785,8.56835739792468,-16.8823205731229,4.00767206681951e-07,0.000174558881074032,7.33387305602447
"ILMN_2765378",-3.01218285556226,8.16444080219153,-16.8225412481209,4.11059517837361e-07,0.000174558881074032,7.3101567108953
"ILMN_3154269",-2.33011919223728,7.93380591080012,-16.7825892681385,4.18105141967255e-07,0.000174558881074032,7.29424580499631
"ILMN_2438724",-2.10538214895883,7.9710494295008,-16.7551327029018,4.23026542329315e-07,0.000174558881074032,7.28328288796797
"ILMN_1235390",-3.08496464818155,8.04828543378901,-16.461134561526,4.80053196464656e-07,0.000192144044963842,7.16442996408348
"ILMN_1248843",-2.55193852255614,7.85837884337366,-16.3582426550719,5.02032407581484e-07,0.000192144044963842,7.1221919200385
"ILMN_1228245",-4.56733838358936,9.62486606532222,-16.326926439656,5.08946784827594e-07,0.000192144044963842,7.10926918903831
"ILMN_2977404",-2.81884271359583,7.97147826028478,-16.3222462030869,5.09989387129233e-07,0.000192144044963842,7.10733517030613
"ILMN_1242977",-3.00609254780807,8.3727431721038,-16.1658527178184,5.46261004509441e-07,0.000201430839769215,7.04230126163047
