"ID","Symbol","lung_tumor_myckras_rep1","lung_tumor_myckras_rep2","lung_tumor_myckras_rep3","lung_tumor_myckras_rep4"
170757,"Adgrl4",8.71878971285729,8.5327090062875,8.2962279528911,8.59166258878599
170758,"Rac3",9.31876213267732,9.5509124474363,10.3271079614067,9.97796579173414
170759,"Atp13a1",11.2666264534712,10.7134849340278,10.8097455440157,10.6242894466585
170760,"Acbd3",10.7488244146455,11.0608183461925,10.6143590186285,10.8828388467762
170761,"Pdzd3",7.04011845076483,7.10541748977662,6.96931456468296,7.21033650228458
170762,"Nup155",7.5334597279142,7.67082095901481,7.55636784737221,7.72647863473743
170763,"Zfp87",8.94597777206566,8.82712537958368,8.808758474919,8.86564242381179
170765,"Ripply3",7.55043416758957,7.37772568663073,8.02738769405276,7.67034643471122
170767,"Rfxap",9.27433446985266,9.54979669837669,9.83524117718097,9.79856292859529
170768,"Pfkfb3",7.08583756818807,6.9249980234467,6.92651838694673,6.86507594493028
170770,"Bbc3",8.51315188748909,8.41576943160167,8.40831859871793,8.50189455261031
170771,"Khdrbs2",7.60211888710427,7.5870273824021,7.74928284676632,7.47101467462558
170779,"Cd209d",7.6217771686244,7.19386412613554,7.27187150022236,7.25443814826726
170787,"Hdac10",7.9880100407236,8.50375121669917,8.07208234684595,8.21913826227907
170789,"Acot8",8.52809514570489,8.78857271408894,8.85593556230914,8.72017095516194
170791,"Rbm39",7.21510825828416,7.58794155614559,7.72549407518447,7.48721198320981
170812,"Ahsp",7.78720878922135,7.47833988106208,7.61187780142327,7.90459699219878
170813,"Ms4a3",7.15382268342889,7.09920410010987,7.03669623166228,6.86900362907553
170822,"Usp33",12.4369717450491,12.0316279807494,11.0911357579655,12.1329193835982
170826,"Ppargc1b",8.2186540450218,8.20620547633731,8.30742852519225,8.3169602873649
170829,"Tram2",7.14968361920577,7.12130686431955,7.35991424213757,7.43840202279677
170833,"Hook2",9.21450126776659,9.47689805858314,9.39843641860755,9.40988147512719
170834,"Oosp1",7.2694189297411,7.10623576161575,7.07394070272144,7.14414836650889
