"","kidney_preneo_myc_1wk_batch1","kidney_preneo_myc_1wk_batch2_rep1","kidney_preneo_myc_1wk_batch2_rep2","kidney_preneo_myc_2wk_batch1","kidney_preneo_myc_2wk_batch2_rep1","kidney_preneo_myc_2wk_batch2_rep2","kidney_tumor_myc_4wk_batch1_rep1","kidney_tumor_myc_4wk_batch1_rep2","kidney_tumor_myc_4wk_batch2"
"ILMN_1247592",7.63381729899036,7.66359408385035,7.87102881915316,7.51615124521303,7.23196227500894,8.20012461951689,9.85735591846666,8.58701075600873,9.0002345176359
"ILMN_1241322",6.46622290621152,6.48521382896586,6.36653010873432,6.59884553635004,6.49253422546997,6.49204841799892,8.68266952030938,7.69559069637933,8.44410302359708
"ILMN_1228387",6.63500436716692,6.97415768958572,6.9251358977819,6.98351478434268,7.06498852874982,7.02334470026079,8.4007567188469,7.20292162844495,7.27456484324459
"ILMN_2637266",10.1238039861222,10.7690697753143,10.6249812957416,10.8777774130987,9.1495024102295,10.8629891989696,11.6002091682704,11.5951723564504,11.5287965809772
"ILMN_2939071",7.11486754149219,6.9374906938288,7.08189512096152,7.23921697809058,7.19122853382562,7.38555433592911,6.60904066250937,7.04221058693005,7.14608092595357
"ILMN_2811746",6.94611842620803,7.27685300211519,7.56150785861175,7.38217107196416,7.33789631560831,7.2537209999889,8.49684979529763,7.86364769296158,7.2840332276842
"ILMN_1254655",6.91807304387695,7.52899399857146,7.46370467705909,8.28593912348552,7.63737268533417,7.82986440391526,9.73380277539219,8.74874131792919,8.64260591832416
"ILMN_2811737",6.70066650171943,7.19099000337001,7.21434216195349,8.15382755971063,7.47973896224348,8.15703651204819,8.23966532403406,8.88472814592336,8.74038577944347
"ILMN_2923864",9.2865303327867,9.2610104923253,9.07059206990621,9.12373376817593,9.2300570655563,9.15297287745071,7.58227943346853,8.95564804634073,8.80159980093124
"ILMN_2923865",9.69882427509464,9.4838665887775,9.73248823457306,9.79540261945974,8.9810469837986,9.50580739305903,7.69815268694132,9.28016592739551,9.42271860047331
"ILMN_2648548",8.40544761403127,7.91183466889464,8.04460795612822,8.29805940370257,8.91565381956469,7.99437590957853,7.41694361565158,8.1550968333275,8.17852188609303
"ILMN_3097868",9.3158097988962,9.25474363601169,9.21867054317909,9.654796598994,10.4703680305763,9.28924917105972,8.63725248799872,9.725641892436,9.44704061484428
"ILMN_1243876",9.95526881014475,9.79897147863093,9.96977079064212,10.3108622836506,9.7117952240801,9.74783561129438,8.46381410249657,10.1888117970565,10.1992558864366
"ILMN_2674731",6.72988120909252,6.58712705496793,7.1304436760936,7.2848205543393,7.92031791961039,6.87671460004085,6.60702286254832,6.61319842442745,6.82317147915243
"ILMN_1255180",6.78034356521604,6.88860986967268,6.76293449836612,6.40016172159604,6.78077860486807,6.92490727647481,9.04081536738168,6.79034850888436,7.16469752568808
"ILMN_1217061",10.2450008141994,10.8069146222926,9.97706982351946,10.0782842070744,9.17484941133981,9.25331936333889,9.46575497954566,9.99948276563646,9.44925448664297
"ILMN_2588631",7.89033276799012,7.75102635855963,7.85765877436906,7.17051651316807,7.70595225386829,7.30715060429385,6.6842763654609,6.69806770180525,6.9758085205117
"ILMN_3061615",7.32564203800548,7.43804734587793,7.10992692922407,7.14125395357718,6.87324119423622,7.1688496680359,7.32568428568959,7.03006708616743,7.38166230311535
"ILMN_2629959",6.64706776318115,6.63457850222387,6.81954421900044,6.71885544372772,6.65905669617062,6.75034646311714,6.58336610803432,6.45587988617526,6.61126266403294
"ILMN_2689756",6.50796633471291,6.74906593691905,6.83727122101936,7.02675994943652,6.69444711758844,6.86183767490609,6.62511162522118,7.17179581955514,6.650578052021
"ILMN_2665095",8.31850836028189,8.64560651731209,8.65340230609517,8.16303879385569,7.69045463349371,7.67002767373348,8.51215827548649,7.52117045496989,8.6138811980526
"ILMN_2772845",9.56536923724011,9.25129312994827,9.26372046127397,8.4871431191062,8.61405592373427,8.79461762689449,9.20673750161651,8.12297398553541,8.70291685761234
"ILMN_2826110",12.9424075228722,12.8481367837097,12.6893005096173,11.6926673561109,12.355190904713,12.0618293875043,8.38967184855655,11.1167373686097,10.0776220832778
"ILMN_2610460",9.14977654262428,9.35236142391857,9.2960916443778,8.91667723136788,8.22099394789352,8.45730525327999,7.02399963938723,10.099569685729,9.07062529295994
"ILMN_2721083",7.4162020712924,7.84438961818782,7.6617919521984,7.53596753137091,7.27661571538528,7.33087760457647,8.1544887522806,7.1032754980927,7.30539487349403
"ILMN_2998446",7.23372808063995,6.8882433554346,6.93848836512585,6.77015297891047,6.77700300412933,6.86761545155431,7.16958886673564,6.44113877555221,6.83888874393587
"ILMN_2991970",6.72179505674969,6.846614247486,6.70908941113476,6.80542021179778,7.12243001144381,6.87514995036442,8.38208775290723,7.10249769708383,7.24681593851988
"ILMN_2632665",10.5581796871889,10.872117309047,10.8948224664044,10.8313628783795,8.57323226185225,10.6189432738352,9.31359914634282,11.3699181839853,10.8749799265904
"ILMN_2639018",7.89985710969476,7.78151041158351,8.19381545420181,8.73147667889785,7.96087170832992,8.58531959615398,6.5711131897457,7.30060642885253,7.9082374511556
"ILMN_2686513",9.04841076353126,9.19653297309491,8.88085837044123,8.5791171868022,9.62348722760176,8.13145794367709,8.47164849640936,8.65192262289522,8.2026580375101
"ILMN_1228018",7.28150207968611,7.0610777752008,6.84406115948413,7.07692939609505,7.80277096722997,6.66272362675985,6.9560970450371,7.20907692295896,6.91286383619994
"ILMN_2752204",7.24132797892719,6.9003087315471,6.92975573071425,6.82824467843259,7.62617110658763,6.7327762924007,7.05833655157032,7.24995771047255,7.02057071236969
"ILMN_2881486",6.99468273852895,6.79176815997841,7.10391624315852,6.68061600981027,6.91967498278324,6.80298335855354,7.41583374162675,6.73593464054715,6.89359130666566
"ILMN_1216136",8.17121860526742,8.34745892002147,8.24964950392073,7.20887361950491,7.6210456513483,7.5433464290994,8.59152084922459,7.37708099820654,7.50371913868643
"ILMN_2671644",6.85250612807157,6.83899134797268,6.8097005858364,7.12484669612705,7.36344591089018,6.6444707063434,6.48563004400376,6.65113021894078,6.69355351975292
"ILMN_2757743",10.7917482327279,11.0898477295805,10.6248379450016,11.8459886810736,10.2375569374352,11.1203857644123,10.1855908854774,12.0275770753014,11.8479134303353
