"","kidney_normal_batch1_rep1","kidney_normal_batch1_rep2","kidney_normal_batch2"
"ILMN_2417611",11.236066955497,11.1096886280143,10.6401593927338
"ILMN_2896528",13.1286064301808,12.9004506386425,12.8374160893957
"ILMN_2721178",11.4218220791822,11.0386777547536,10.8718163730045
"ILMN_2458837",8.60600525029457,7.72935584627374,8.21495915686594
"ILMN_3033922",12.3410467310976,12.4157132625073,11.4725172999986
"ILMN_3092673",13.8401607811358,13.7638923951152,13.6448276444825
"ILMN_1230777",13.1791943711291,13.3703715040257,13.1440848420968
"ILMN_1246069",13.510999335804,13.2449985882127,12.9062194540011
"ILMN_1243193",11.0324521865916,10.663743613298,10.9398935793145
"ILMN_1233188",9.53932385291172,9.53234590050552,9.41495697006335
"ILMN_2543688",12.2599699533033,12.1415996410342,12.3012685840902
"ILMN_1259789",7.1829015175154,7.06565533870753,6.9030932147886
"ILMN_2816356",7.00512009705477,7.14494469559513,6.69023221219222
"ILMN_1224596",7.13866142282061,7.66045553502431,7.35697039474645
"ILMN_2808939",10.8876873134983,10.5911438625825,10.5503862257996
"ILMN_2771349",10.1531923886687,10.0674477938589,9.73400695919321
"ILMN_2773981",11.0839853597214,10.839233604029,10.6897029572211
"ILMN_2634564",9.87515663503243,9.78909799631583,9.97622130644084
"ILMN_2435996",8.02664965003492,8.4661146060184,7.4334867491401
"ILMN_2480021",7.8317633430448,8.14472683565143,7.34772464444173
"ILMN_1236537",11.1040925112386,11.1339743304401,10.9952043931957
"ILMN_2734484",11.2782934928747,11.0099324607145,10.8633771135588
"ILMN_2952292",9.35706592216646,8.70555411456177,9.38424116631032
"ILMN_1233543",9.51475837790836,8.2910616601997,9.0626733586787
"ILMN_1213681",9.70785518415517,9.71335463524547,9.58285674069927
"ILMN_2735413",10.3484883964562,9.87120924386148,9.92108942860083
"ILMN_2735415",10.6489100064575,10.447842350712,10.1070843309854
"ILMN_1237980",6.76773052518721,6.64563906988042,6.70861414886805
"ILMN_2891688",11.9312926734792,11.2286248714493,11.96309758046
"ILMN_2484274",11.8762473576404,11.1916575273366,11.8887168066558
"ILMN_2686463",8.72144818272895,8.72602361292475,9.18294661681706
"ILMN_2712923",7.57732807368357,8.07236884115703,7.69266310714181
"ILMN_2670313",7.66052474678111,8.10666175259265,7.82700268276879
"ILMN_2637698",10.9161787056075,10.776104803188,10.9462273445661
"ILMN_2674228",9.5487137856388,9.2860501602305,9.32595796839039
"ILMN_2438555",12.8317047841144,12.578560433193,12.2533554642205
"ILMN_2848071",11.4805340580843,10.694652978042,10.9405610318417
"ILMN_1248518",12.7661547728916,12.2323479457156,12.290619306624
"ILMN_2658619",12.7215613536184,12.3114575714654,12.7769511295546
"ILMN_2682917",11.4123648097483,10.2480109666133,10.5292550042139
"ILMN_2972403",13.8918258092239,12.9804872611123,13.9380329550996
"ILMN_2973337",7.57368794096768,7.60221865768228,7.41665944118246
"ILMN_2549368",7.08272618759185,7.04814772694448,6.8685538997331
"ILMN_1226653",9.89787883420192,9.53238338485281,9.6722768567328
"ILMN_2655105",8.00314317797185,8.61450893977096,8.13788206402755
"ILMN_2544634",7.41253752038928,7.31583858583305,7.3329443099449
"ILMN_2653890",6.98401768033238,7.2524534820841,6.97788779832974
"ILMN_1220374",9.44691545957637,9.59081800447577,9.70397302757048
"ILMN_2444799",10.4574496169398,10.5121763713555,10.2915054372255
"ILMN_2727437",10.5499369995796,10.2319832131089,9.93777794557611
"ILMN_2628021",12.2761354345922,12.1680154070386,12.1404217422479
"ILMN_2793281",11.4776959927946,11.3026353005022,11.3626700585437
"ILMN_1234456",8.08789323655952,7.91472126729642,7.71966439648033
"ILMN_2611352",9.88632571241808,9.83651128820028,9.98474654318027
"ILMN_2622630",9.80122588624921,10.0066562088281,9.88146824959043
"ILMN_2495446",6.75398490206422,6.91837799361018,8.02637740319153
"ILMN_1230077",7.75354691793346,8.22272775452529,7.80912669598997
"ILMN_1246762",7.57600647515951,6.96990997148482,7.56374111935851
