"","lung_normal_rep1","lung_normal_rep2"
"ILMN_1248788",11.5063819704702,11.6672390809713
"ILMN_2707227",7.19690944254114,7.03727239024627
"ILMN_2896528",11.9753755584742,12.240332965217
"ILMN_2721178",10.0300894598536,10.3308048632816
"ILMN_1227723",9.19780028897866,9.00561577791818
"ILMN_3033922",10.6827642079604,11.0054140238574
"ILMN_3092673",12.9786981714817,13.0842779487639
"ILMN_2730714",13.2072603171555,13.2231061201893
"ILMN_3162224",10.9313746580796,10.6636359293783
"ILMN_2816356",7.36139553316589,7.11712358570437
"ILMN_2808939",10.0568239665344,10.4142095436424
"ILMN_2634564",9.6334323456347,9.4956427033026
"ILMN_1228777",6.89413565589759,6.99084852577075
"ILMN_1216425",7.01687791414543,7.24204271473391
"ILMN_2734484",9.62121626077284,9.32547411573413
"ILMN_2952292",8.69111100211636,8.76420813013995
"ILMN_2660815",12.239434441698,12.0733591774936
"ILMN_1243593",10.6715410667119,10.2791680131899
"ILMN_1219797",7.84242891943523,7.5533413020917
"ILMN_1231132",9.21280033442943,9.10826307530433
"ILMN_2718462",9.83747025296567,9.66754401957891
"ILMN_2653881",8.85758256661978,8.57620088181099
"ILMN_2638061",7.85817531057549,7.91423562233191
"ILMN_1252243",10.4463854793177,10.1571100461079
"ILMN_2836586",8.35771693745833,8.44315076472932
"ILMN_1213681",8.96298635164664,9.24654763254831
"ILMN_2735413",6.96202839277775,7.10600669227916
"ILMN_2735415",7.39000769215312,7.30509272999816
"ILMN_2807229",7.12205144771389,7.14968361920577
"ILMN_2891688",9.80402007140926,9.7791550509154
"ILMN_2637698",11.4306877545094,11.4122489623077
"ILMN_2674228",9.03584725176395,9.14730033812575
"ILMN_2758762",7.28603788190551,7.45368218587218
"ILMN_2932814",9.20348565815289,9.28200244958746
"ILMN_1245467",10.44845834985,10.5262974922499
"ILMN_2608985",7.1978309980122,7.06726628304434
"ILMN_2725876",6.97717257612527,7.22923941519677
"ILMN_1240839",7.94013003648144,6.87874066574271
"ILMN_2848071",7.21301306079898,7.09816370971495
"ILMN_1248518",6.97548975694575,6.85658115076482
"ILMN_2720925",11.4459556802039,11.3409349556753
"ILMN_2658619",11.2770330751039,11.2153983854075
"ILMN_2682917",6.95826269732954,6.95270485179702
"ILMN_2972403",7.06379951853105,7.05707790700122
"ILMN_2973337",7.16682212695465,7.28268304468003
"ILMN_2705878",8.10053094003058,8.3245040476505
"ILMN_1226653",8.02973584227167,7.94544383637791
"ILMN_2604467",10.1844647237121,10.3959022595541
"ILMN_1225086",7.71518983030284,7.86573327085176
"ILMN_2727437",8.11227659163928,8.19816875424598
"ILMN_2628021",11.0538749859353,11.0385375229347
"ILMN_2793281",10.4255568636517,10.4669622560863
"ILMN_2603581",11.6741232881918,11.7437877987227
"ILMN_2729008",8.62328710156854,8.53636864955385
"ILMN_1234456",7.52002930421219,7.63481105017172
"ILMN_1256281",7.59670225055324,7.64408159326567
"ILMN_2611352",10.3248626270627,10.5978866970511
"ILMN_2622630",8.72177209001667,9.38784232104642
"ILMN_2596016",9.97443251582538,9.93336793016744
"ILMN_1245913",7.44630793105035,7.28978836605652
"ILMN_3041584",6.90018755524826,7.04998464633674
"ILMN_2669540",12.0351556382415,12.2233965291303
"ILMN_3116330",11.4295996197718,11.3637822846149
"ILMN_1223358",9.00979363403803,8.78802495479675
"ILMN_1240471",11.0835665844737,11.0758342641391
"ILMN_2769680",8.73212501777847,9.05628207743471
"ILMN_1243451",9.14568541495829,9.62873031443014
"ILMN_1255473",10.7641822075174,10.7236769410877
"ILMN_2915716",8.18810972217379,8.12521972044955
"ILMN_1254001",9.50362700598347,9.83010911951212
"ILMN_2665198",8.94619352108216,8.99754998859044
"ILMN_2693895",13.8315398220179,13.7604295342844
"ILMN_2639189",6.99084852577075,6.74138271436976
"ILMN_2776681",8.25293147872477,8.10097436361415
"ILMN_1236932",7.04494049127973,7.12809101311415
"ILMN_2727893",11.3746150069118,11.5960499533398
"ILMN_2746968",12.2793566652737,12.1329193835982
"ILMN_2607196",8.10489355212976,8.10868779615461
"ILMN_1235939",7.42442876403776,7.21115824728025
"ILMN_2725647",7.18195974124854,7.22484581392096
"ILMN_2621882",12.5474112084901,12.6534706958711
"ILMN_2630756",7.94119436337655,7.787474093682
"ILMN_2613696",10.9134925155541,11.0026612113367
"ILMN_2659694",7.09842692720171,7.0118562004485
"ILMN_2651743",7.98085360637974,7.63830014583558
"ILMN_2682218",13.3149885381989,13.3262934204625
"ILMN_2621862",8.29434792049067,8.28491083279026
"ILMN_2789047",8.22194956192514,8.172490015742
"ILMN_2599412",9.95141222025768,9.74557454184678
"ILMN_1259294",8.37932421083556,8.51024494159743
"ILMN_1216426",9.01793060477275,8.86891898838627
"ILMN_1245673",7.9041453619942,7.79903872312234
