"","lung_tumor_myckras_rep1","lung_tumor_myckras_rep2","lung_tumor_myckras_rep3","lung_tumor_myckras_rep4"
"ILMN_1248788",7.97323097975121,8.1093083171837,8.89197351902556,8.84596041829329
"ILMN_2707227",7.2527245580846,8.62328710156854,8.70610744822245,8.60899400223791
"ILMN_2896528",11.8472188765988,9.72108850520317,12.3307558540572,12.7534714029168
"ILMN_2721178",9.69760834027644,8.43246360439391,10.6096404744368,10.6919506627472
"ILMN_1227723",9.22611109813239,9.05414640836722,9.56960050400668,9.4487357980294
"ILMN_3033922",10.4297565186556,10.8702105772636,10.9987534817373,10.8978029230955
"ILMN_3092673",12.6629701106413,12.6211232320114,12.5173648991293,12.5874889367421
"ILMN_2730714",12.8998985400128,13.3712840364094,13.4154372691525,13.3979043804156
"ILMN_3162224",11.2617570413103,11.5872442580701,11.686221459512,11.2658897008022
"ILMN_2816356",7.0429589078017,7.31676234996127,7.27338767138305,7.39325637174838
"ILMN_2808939",10.5277457758311,10.2632105053202,10.4553272203046,10.6313476038323
"ILMN_2634564",9.82660806873022,9.89825181836386,9.42228819835731,9.64229994511981
"ILMN_1228777",7.07055704217541,6.95077458108515,6.94196459298614,7.15336202423927
"ILMN_1216425",7.1787270884492,7.22225152626911,7.34132422697572,7.42332604706989
"ILMN_2734484",10.0219689359463,10.2659226558069,9.98780580932446,10.0563328881851
"ILMN_2952292",9.25536795283007,9.01529308025873,8.505240911747,9.33838819986657
"ILMN_2660815",12.4802048393348,12.6057760942866,12.5860070432188,12.4180172869821
"ILMN_1243593",9.43751801845484,9.13815978533922,9.82482949662259,9.34600116404502
"ILMN_1219797",8.20702957702411,8.5779952201287,8.6562237300608,8.08148343809367
"ILMN_1231132",9.48733133386714,9.59604995333981,9.39843641860755,9.6746115952932
"ILMN_2718462",8.70293020443829,8.77638162420837,9.22993033953019,8.61262664595508
"ILMN_2653881",8.56954710436913,8.51941511438074,8.27894304961355,8.41471165855135
"ILMN_2638061",7.86093176915553,7.84097456982188,8.13346334652344,8.29667248780769
"ILMN_1252243",11.4924321870854,11.4301437897296,11.853816359228,11.6768936869377
"ILMN_2836586",9.32774910668207,8.70554599585021,9.80343492236367,9.22332298953629
"ILMN_1213681",9.10494267936797,8.63485641722698,9.02939939387289,8.87261717131478
"ILMN_2735413",6.93913840511203,7.08500764131492,7.31413002977557,7.34834087582535
"ILMN_2735415",7.54182262142417,7.24198314969433,7.38238085523279,7.64712109859222
