"ID","Symbol","lung_normal_rep1","lung_normal_rep2"
72621,"Pdzd11",8.53484821387844,8.82545013266734
72630,"Hspa12b",11.3409349556753,10.8677613594047
72634,"Tdrkh",7.72154782445108,7.58197728104316
72635,"Lins1",8.15911448004639,8.09143538632361
72640,"Mex3a",7.27321280985433,7.30023814698577
72649,"Tmem209",8.40574037985217,8.45737293226968
72654,"Ccdc12",10.0985173971225,10.6256574803805
72657,"Selenoh",12.3102080318897,12.2991328760637
72658,"2700097O09Rik",9.2291793191794,8.94655907962028
72662,"Dis3",7.1715521248119,7.19604879267019
72668,"Skida1",7.61994482565771,7.46206766044128
72674,"Adipor1",12.4335202419621,12.4470719228151
72685,"Dnajc6",8.23531093528969,8.58093431693774
72692,"Hnrnpll",9.8694175603851,9.87709603990593
72699,"Lime1",8.59465117967886,8.28964429680856
72709,"C1qtnf6",7.12120971640928,7.15437510835614
72713,"Angptl1",7.01297364837454,7.26338658331409
72722,"Fam98a",11.2658897008022,11.128928740292
72723,"Zfp74",7.0703893278914,7.08905317215643
72727,"B3gat3",7.86444380938542,7.71447795722324
72729,"Cdc42se2",7.9962086525616,8.12521972044955
72736,"Tmx1",8.463102844483,8.56581610710089
72739,"Zkscan3",9.09919985095473,8.62845693218823
72745,"Tmem161b",7.48058827023386,7.3734089602287
72747,"Ttc39c",7.87724018662693,7.62066354258737
72748,"Hdhd3",7.87636346020485,8.23311032988681
72749,"Tonsl",7.25390656219881,7.30873719543009
72750,"Fam117b",8.87096186556555,9.05966554980691
72754,"Arhgef10l",7.30143903477569,7.33773338880071
72759,"Tmem135",7.90324167722026,7.88052100285771
72772,"Rint1",7.52137960215294,7.63363100571473
72774,"Neil1",7.25785923463963,7.44102484572633
72776,"Sass6",7.48058827023386,7.50499273603578
72780,"Rspo3",7.3819754785573,7.43246360439391
72787,"Ndc1",8.71313945696213,8.46369039625633
72789,"Veph1",7.49436413039452,7.31862204660474
72795,"Ttc19",8.20087356602331,8.25008826358551
72821,"Scn2b",7.30802610887405,7.22342858367768
72825,"Mon1a",7.65701888967032,7.45972280299102
72826,"Fam76b",10.7819794884048,10.8078026757359
72828,"Ubash3b",7.10387788114937,7.00365845032321
72831,"Dhx30",11.6970435699025,11.6047182678431
72843,"Prdm4",9.15914435002184,9.13409182571226
72852,"Mblac2",8.45548134615705,8.16018657660066
72865,"Rtl8c",8.95828082516902,9.08793515373402
72873,"Bbof1",8.69187435015311,8.73461436872933
72881,"Zdhhc4",11.4403111830407,11.5694402991641
72886,"Yju2",7.80215281832959,7.56176526362771
72891,"Xlr4c",7.82059782577258,7.87202071022899
72895,"Setd5",8.92916592522139,8.97618818615266
72899,"Macrod2",7.15601985426186,7.16320937931124
72900,"Ndufv2",12.5899948690862,12.4619206296346
72925,"March1",7.78402132437418,7.95139400590607
72930,"Ppp2r2b",7.61801967509068,7.61417929759603
72931,"Swi5",7.21170581736033,7.390222706877
72935,"Ddx41",10.5674273229881,10.4221041978963
72947,"Phykpl",8.16195037528108,8.34511967836368
72948,"Tppp",8.19458823234137,8.28987089305157
72960,"Top1mt",7.61587126551428,7.76595739158418
72972,"Ccser2",9.4110696138822,9.42489253610634
72981,"Thap12",10.2838624649727,10.203699762319
