"","lung_tumor_myc_rep1","lung_tumor_myc_rep2","lung_tumor_myc_rep3","lung_tumor_myc_rep4","lung_tumor_myc_rep5"
"ILMN_1248788",8.28184311499778,10.1844647237121,7.77848786122237,8.34332453623614,7.60672906554716
"ILMN_2707227",8.19761602104914,7.59198976761513,9.95921410110471,9.82677686944685,7.77565142948933
"ILMN_2896528",11.4250060414849,12.4504219221681,12.9312049643577,12.7391569417703,11.244311799633
"ILMN_2721178",9.81480273844905,10.7016854986972,10.7908880827135,10.6688960614277,9.50199263935435
"ILMN_1227723",9.11082583581666,8.63197277453487,9.38150239509428,9.65594433184378,9.00028174886153
"ILMN_3033922",11.2851999036899,10.6192972231449,10.77300523596,11.2174768708164,11.2942114869398
"ILMN_3092673",12.6663391363709,12.2567154744243,12.7436484448603,13.046114703909,12.8615110231387
"ILMN_2730714",13.3499653652058,12.7162380443813,13.527053897649,13.7445645155938,13.7739897595831
"ILMN_3162224",11.2263293980224,12.4180172869821,11.1471611917908,10.8873729511468,10.7861113391441
"ILMN_2816356",7.65798827627794,7.67983193343985,7.54699089349891,7.32361776329158,7.5444573725432
"ILMN_2808939",9.97664466865676,10.721531804148,10.4064574815364,10.0296495809312,9.91517447402269
"ILMN_2634564",9.73085220122647,10.0808591560198,9.97232468251483,9.87323261453141,9.46658633771924
"ILMN_1228777",6.99392905237547,6.81217730551445,6.87874066574271,7.21832105135826,6.95855271543101
"ILMN_1216425",7.13590163262037,7.20683122543258,7.17217745317369,7.14602764321412,6.9876548370974
"ILMN_2734484",10.3724093859345,9.83484629151129,10.2992867347192,10.2730233526116,9.91876076949935
"ILMN_2952292",8.80027303243968,8.73136146260816,8.88733486873515,8.56897738521764,8.52512925120397
"ILMN_2660815",12.9034782431624,12.1676611881101,12.1911132065992,12.3328967044695,11.3645792715121
"ILMN_1243593",9.62436139427745,10.3707691281543,9.15066755989243,9.6109844400242,10.5108630469859
"ILMN_1219797",8.71391271480221,8.98408907941896,8.71330058652693,8.56819365385007,8.25682786463071
"ILMN_1231132",9.68654429760663,9.99215943872856,9.81816272841819,9.39950491346065,9.26788395323867
"ILMN_2718462",8.40085275898227,8.08050111242099,8.67564835489475,8.47387060513973,8.46885310474965
