"ID","Symbol","lung_tumor_myc_rep1","lung_tumor_myc_rep2","lung_tumor_myc_rep3","lung_tumor_myc_rep4","lung_tumor_myc_rep5"
11302,"Aatk",8.37427877413153,9.68932100350039,7.51298730941902,8.16258015082914,8.50223511485679
11303,"Abca1",6.99806148563642,7.0720990994809,7.07380684717849,7.1797225225589,6.94515117078387
11304,"Abca4",6.93058951287493,7.18279780463561,7.3238147624294,7.10636664205137,7.07684899238285
11305,"Abca2",7.67370657913439,7.5644591502039,7.62830882850757,7.66884067477006,7.9108862818007
11307,"Abcg1",8.34107399319751,7.71686232150853,7.41410381296875,8.38354230414659,9.74605238323847
11308,"Abi1",10.0023466683346,9.57136860130414,9.77339205951523,9.81130105854063,9.95877992114562
11354,"Scgb1b27",7.41922284601085,7.27626983091227,7.12237505980131,7.29001884693262,7.39598925697985
11363,"Acadl",8.71955037594608,8.23140169069545,8.66442542292375,8.38720761762439,8.40796717005035
11364,"Acadm",12.3621801382002,11.9284767371013,12.8659313765444,12.8591549904088,13.0279491800424
11370,"Acadvl",11.3465068077696,10.2591768417555,10.9306264704669,10.7954359930132,10.231367453211
11409,"Acads",9.40539605710335,9.16943847758371,9.28109396008026,9.189675358601,8.87202591452889
11416,"Slc33a1",7.42846486375625,7.10885111704015,7.69453201009184,7.13916760587681,7.19617177409051
11419,"Asic1",7.07868454619464,7.86778066083475,7.13679891077335,7.08799314636232,7.15608307628868
11421,"Ace",7.29800659229526,6.81382555272545,7.16093853714997,7.17093298995831,7.47783123730742
11425,"Apoc4",7.48643282054542,7.38502651679022,7.66795419894206,8.78789235930559,9.94270692515311
11428,"Aco1",9.83445129772632,9.47130687374634,9.44594598401025,9.04450511790279,8.44496309834637
11429,"Aco2",10.9607305190889,11.2211943744369,11.5555387847314,11.1246827354243,10.7127849085609
11430,"Acox1",7.11761063713902,6.97946092284948,7.13156762109366,7.16062779666161,7.08865575375048
11432,"Acp2",9.41225227075941,8.82894965564938,9.05169327064324,9.20970465780668,9.46106371727937
11433,"Acp5",7.0778171208959,7.53167386906528,7.47957819174907,7.23451808573999,7.54838845699022
11435,"Chrna1",7.07878915912645,7.75423462295572,7.0166682113053,7.03969573258571,7.2659177006388
11438,"Chrna4",7.02639703554095,8.14846194271654,6.99091092554293,6.90378335427575,6.98838612966803
11443,"Chrnb1",11.4941361065188,10.1451538221302,10.6570180020124,10.7362478896042,12.0214533621766
11444,"Chrnb2",7.20622074173996,7.1009251010569,7.51076416791789,7.34101837979655,7.28187208623209
