"ID","Symbol","kidney_preneo_myc_1wk_batch1","kidney_preneo_myc_1wk_batch2_rep1","kidney_preneo_myc_1wk_batch2_rep2","kidney_preneo_myc_2wk_batch1","kidney_preneo_myc_2wk_batch2_rep1","kidney_preneo_myc_2wk_batch2_rep2","kidney_tumor_myc_4wk_batch1_rep1","kidney_tumor_myc_4wk_batch1_rep2","kidney_tumor_myc_4wk_batch2"
436062,"Fam92b",6.62809905319449,6.50232854761152,6.70269603776511,6.6088160414718,6.72260185664376,6.6350711933657,6.472160169025,6.63300780372096,6.63014368055195
436230,"BC065397",7.01750523214787,6.82774521179962,6.9717591578085,6.8258577322972,7.01844458259066,6.93023943863007,6.75118202800882,6.95943636884983,7.00681646786233
436522,"Try10",6.27253548985506,6.26234675166877,6.52647742015338,6.53582804994218,6.55771581591874,6.49781144392884,6.68914701201375,6.42135432683283,6.33732511683019
442801,"Arhgef15",8.03427406362797,7.83458061514958,7.84800223911512,7.14472686335017,7.62992988579373,7.78109300663581,7.70093886508616,6.98463338226143,7.16607811231695
442805,"D130007C19Rik",6.99213611121687,7.09322305372239,6.97748829213646,6.85671022127174,7.43101857684734,7.19658421185805,8.34463524543024,7.1653238141157,7.34960662293805
442806,"E330033J05Rik",6.40456617508192,6.45052793713197,6.57693336662622,6.29807316097687,6.61385829874252,6.74279233586546,8.00384962832027,6.21015267925255,6.54730099505088
442807,"D630036G22Rik",6.48358389649189,6.72241794020845,6.50769445653403,6.62197161807944,6.83346621552221,6.33127506614193,6.22315316406085,6.41372870468758,6.45998768127925
442814,"5031438A03Rik",6.21593185017797,6.53161253970272,6.38379584498164,6.22954492060959,6.3847975050621,6.51154206386866,7.64701640983364,6.42390580905985,6.44451842965715
442820,"D830005E20Rik",6.2595990923663,6.505957089227,6.51501194099964,6.47295311837621,6.74276979139791,6.67082574997909,8.13438976513206,6.20714765024077,6.63296618144313
442827,"Rab44",6.54618436887187,6.68533253599971,6.71980680876145,6.37533711417651,6.68034328886716,6.4639755991054,7.31231292175772,6.91535118845094,7.0914228665954
442829,"Ccin",6.4801358518808,6.33783399393477,6.4115396847602,6.30015125746499,6.30311831842242,6.58380111622938,6.49422420591052,6.29514857559664,6.39353970123478
442837,"C230029F24Rik",6.54362644653756,6.64007671450271,6.59206706966614,6.46347682972232,6.65254810916895,6.65862765923115,7.13100565736801,6.69459717693159,6.58245436145816
442840,"A330017A19Rik",7.14689686047634,6.86086280837589,6.81040459550119,6.40196107529323,7.02940226819301,6.65439363650072,7.77550227249894,6.93725426248751,7.30084897002741
442846,"Lncbate10",6.98281430361599,6.8092802133523,7.04821856194146,6.84806530974233,6.85105572824767,6.86112511940843,7.09080992371973,6.48696721999255,6.83123395501317
445007,"Nup85",9.58500932681187,9.83578627161249,9.8980729840635,10.9968710555833,11.1634019038163,10.8535306214498,10.7408747109343,11.3635792511942,10.5700667652563
448850,"Znhit3",8.66325052399708,8.20349254926377,8.5659460041575,9.44211291410909,8.49068501801336,10.3036308072131,7.82457628693271,9.11030384360824,8.90393545073438
449000,"Zfp960",6.35423769697816,6.68358842810032,6.55156885867832,6.56459120525778,6.52061516282255,6.56783049545513,6.2604140077537,7.15890317183444,6.63970550608815
449521,"Zfp213",8.240181588619,8.40669024659322,8.36255972061878,8.4796141306507,9.21684140385436,8.17587578749444,8.28321657476788,8.70166539282351,8.30287586907157
474156,"Zbtb9",7.78940771967027,7.97033757171897,8.00688043627636,7.92145887284821,8.09856109964176,7.83393411009762,9.06484997751403,8.08373020260882,8.22487457913775
474332,"Dnm3os",6.74079181345883,7.18380054137504,7.35980634834678,7.03577501076893,7.18240861385388,7.32315162702495,10.4417026092898,7.55247877369061,7.79442254080496
493583,"Itlnb",6.76286040742978,6.61753228646018,6.70136356458671,6.58246267079459,6.47390074599989,6.6698018853482,6.54819158021829,6.44392875358242,6.41118694395028
493809,"Taar3",7.50172401348676,7.35479544656905,7.34714337372284,7.3200421852724,7.23237698875725,7.54160096147916,7.39368989915768,7.36742206927749,7.29084896766512
494448,"Cbx6",10.3763174023826,10.842581935028,10.3047868284312,9.88167278957458,8.98356004428022,9.77686971407577,10.2383365979959,9.46784827478108,10.1744877896601
494468,"Armcx5",7.66685333031422,7.5257931069486,8.0017043527985,7.76061478267732,7.83617206789,7.88632449830862,8.2304067942442,7.65192840585588,7.88755479048463
494504,"Apcdd1",7.30080393186704,6.93796538942233,6.96188735603766,6.54048298616462,6.80337811084075,7.00400582962347,7.09022461518081,6.82183630205973,7.16260148787413
497652,"Acd",9.41857032006797,9.35937532835388,9.35589993488408,9.6596114718174,10.089212403021,8.96534119678002,8.99508910268544,9.17710971015698,9.26042688839167
503845,"Ear12",6.37703975229852,6.9036437205196,6.80766500386203,6.76821558181991,6.82529811743232,6.61997662657254,7.08199816676101,7.22866781590302,6.68308526711099
504186,"Chrna10",6.43855261866684,6.27032336640762,6.4310597923526,6.40542594469347,6.57852732435608,6.396254183269,6.26064508757706,6.47102018075464,6.41261923134743
504193,"Npcd",6.62947330997949,6.70876817221116,6.78151485280596,6.69666721867938,6.69077203306369,6.89408572822968,6.51634069342168,6.7420540599927,6.49550200090005
541610,"Trcg1",7.01945699820696,6.95127456546774,6.94130246097587,6.96027578254059,6.96387540080236,6.80117384501089,6.87480584823501,6.72460074656603,7.02865614591869
544678,"Cfap74",6.80535850874335,6.85690467675553,6.71419784101996,6.87674467836302,7.08291990137398,6.92038080957503,7.44949982315961,6.93227179372846,7.00330126671484
544717,"1190007I07Rik",8.69941987293962,8.59512074389398,8.20445952147953,8.60390252268202,8.26682071479521,8.84317893737808,7.62118093047598,8.03246400002119,8.00964199852747
544752,"Tug1",8.05314857914186,7.99042490911814,8.04355385971155,7.90276747963118,8.21069950422603,7.78729125487256,7.59157796806559,7.9105431249102,7.91797966746858
544763,"Hbq1b",6.68910639669774,6.8966463029205,6.86343134042052,6.90678390404438,6.85329331132336,6.90645578809969,6.65412118228302,6.51180755492223,6.62324187936679
544817,"Arhgap27",8.03511102556615,7.90366572025299,8.02090219342241,8.16203062312483,9.07540886640843,8.00579261782046,8.2166600605604,8.4483783296641,8.1414433682642
544922,"Zkscan4",6.85167276655875,7.15698354323949,7.2630401966887,6.97203015380705,6.91000388818786,7.1281731482276,7.33455988542167,7.28426664771344,7.35738771973916
