"ID","Symbol","lung_tumor_kras_rep1","lung_tumor_kras_rep2","lung_tumor_kras_rep3","lung_tumor_kras_rep4","lung_tumor_kras_rep5"
79043,"Spsb3",9.06933754976041,9.11498537649729,9.01290514922131,8.9209411416613,9.08440951593851
79044,"Mrps34",11.7159593098591,11.6171144393513,11.4578810155812,11.7060291819122,11.3688133562314
79059,"Nme3",10.9939467375549,11.0214398201059,11.0594120644439,10.831030080372,10.6259256875724
79201,"Tnfrsf23",7.27090848756765,7.23592446926932,7.06346249536954,7.23032071566111,7.6251152071648
79202,"Tnfrsf22",9.53534092036217,9.47667794261785,9.06548631725096,9.44860598367974,10.9659902129864
79221,"Hdac9",7.62001358053461,7.43071388579194,7.43217648272176,7.32788942073317,7.54525410150638
79233,"Zfp319",7.25423144362604,7.19118262200283,7.54462641242767,7.11887620188373,7.10341895654546
79235,"Lrat",7.23338000651397,6.96953042389498,7.08792686888253,7.31169155955969,7.16622586174322
79263,"Trim39",9.97400222986137,9.80445373565528,9.72431133295326,9.71409522910503,9.73672430296807
79264,"Krit1",7.78287277835697,7.91967413023442,7.88462246919734,7.98633971056917,8.03716159518518
79456,"Recql4",7.34999990894388,7.27577532392216,7.3734089602287,7.25797705856398,7.37859290261079
79464,"Lias",9.70147521734632,9.61617562906736,9.63970738698669,9.550561087465,9.43767265577554
79554,"Cptp",7.17367713630342,7.26795708440284,7.51840727667136,7.36864286722243,7.33678547620376
79555,"BC005537",10.4273324885415,10.4982446335238,10.5417167682905,10.6684750694913,10.7928055425474
79560,"Ublcp1",11.229055363237,10.7812828633755,11.0622232584883,10.9670641086729,11.1755885334385
79565,"Mettl27",7.15854657681479,7.48919569077296,7.29553937040683,7.31868402196153,7.21377254188122
79566,"Sh3bp5l",11.6978309293886,11.6922885700074,11.8048671081037,11.6607730932694,11.615164065127
80280,"Cdk5rap3",12.4118055611366,11.8811880632694,12.1901680535657,12.2255350795308,12.1563221095364
80281,"Cttnbp2nl",8.76755185824313,8.94893421822719,9.30502555210731,9.19443700114891,8.98087283306329
80283,"Abtb1",9.4992977979903,9.48905767285317,9.45605275249156,9.69207057438276,9.43448488918094
80284,"Smim12",10.6844253802054,10.4329920199139,10.7150128187587,10.4775938545906,10.6570671843705
80287,"Apobec3",7.4894967749565,7.50238431029713,7.24751220427672,7.47304613909457,7.3290394814887
80288,"Bcl9l",8.52256907707067,8.66537486320981,8.31611164424666,8.35648897502476,8.12938304313859
80290,"Gpr146",8.83863311529642,8.6273418265445,8.9289003230664,9.06684985263313,8.86345776757385
80291,"Rilpl2",9.74488638225365,9.36156002721326,9.41762839463036,9.69774949833136,9.02275791218714
80292,"Zxdc",9.00400196768742,8.88866640447622,8.88019429979724,8.6433651070294,8.78780279141297
80294,"Pofut2",7.77941158020018,8.33608808408843,7.77902163765843,7.89824236937631,7.98726401207254
80385,"Tusc2",8.53127473131113,8.52246042647723,8.31056718712745,8.33344715721728,8.55630761026352
80509,"Med8",10.0790402858728,9.84533018666037,10.1911909625402,10.1802479141362,9.99894693737723
80515,"Rnf227",7.53974042572623,7.49438060669644,7.59977339971645,7.52947935897154,7.54602626719867
80517,"Herpud2",7.53298950891229,7.81449007173025,7.62755405464736,7.77634816804753,7.92388182125805
80707,"Wwox",7.32105792029575,7.55137448529045,7.53073318902458,7.55781179208226,7.6227398664512
80708,"Pacsin3",8.32020883200138,8.22160070397286,8.05889566133743,8.003735386963,8.10672841544498
80718,"Rab27b",7.28603788190551,7.86816663521795,7.90425828280052,7.663024332845,7.68811914907664
80719,"Igsf6",7.13102093252328,7.76619759730084,7.68492390686141,7.39059890555246,7.03390473719133
80721,"Slc19a3",6.97341037703826,7.02236781302845,7.05643450431761,7.03376711484639,7.02188220894211
80732,"Mynn",8.94679664300827,9.14730033812575,8.88054013433373,9.03919323984743,8.85565689815203
80733,"Car15",7.36479127113448,7.34032303134089,7.14153241830188,7.12130686431955,7.16748087033951
80743,"Vps16",9.47649419006854,9.52509679819013,9.32429296355068,9.21954172645485,9.60354173614838
80744,"Cwc22",7.94565399249418,7.92745162494006,7.83509066649914,7.87711909408811,7.79237179884438
80748,"BC004004",7.90929308582382,7.88038707542147,8.03042574738053,7.68090889141986,7.64471253575269
80751,"Rnf34",8.22592352955404,8.48251062984969,8.38010520020656,8.41439409233563,8.55449273967948
80752,"Fam20c",7.56821932837133,7.61269197821217,7.59627693826481,7.73134386591875,7.5554943658612
80794,"Cblc",9.04297600205373,8.73532331239544,8.33088887522171,8.57288966842058,8.80385867468655
80795,"Selenok",10.798760351754,10.4479420251709,10.6999302632146,10.9290688112539,10.7051949771282
80837,"Rhoj",9.20447944461629,8.9849346319517,9.35597044129674,9.78267065867701,8.55295722354277
80859,"Nfkbiz",8.78670865969863,8.38354230414659,8.7186184934124,8.87843414955929,8.89962126690506
80860,"Ghdc",7.65633547419873,7.25035764062512,7.45046380838552,7.37327300442208,7.65521764314616
80861,"Dhx58",8.22194956192514,7.68884038187053,7.99013942790148,8.06029062334358,8.3389591754152
80876,"Ifitm2",11.7028030772271,12.065828418604,12.1661944725361,12.1676611881101,12.2911796945492
80877,"Lrba",9.15329747602189,9.07720914876099,8.85286567263232,9.16312728732133,9.23870071896395
80879,"Slc16a3",7.0448898407984,7.23431978978006,7.2568605455911,7.07421183062296,7.20020397587456
80880,"Kank3",9.56190363086997,9.18068135270148,9.7928563312608,9.79499296301899,9.5861622669482
80883,"Ntng1",7.53974042572623,7.38936245564388,7.28221969567259,7.19988701562627,7.51150559579248
80884,"Maged2",10.5214286800901,11.1616043040028,10.7418988033176,10.7895030790737,10.930173674715
80885,"Hcar2",8.2011743700016,8.32735615472298,9.46303896573919,9.05638369714602,8.75657717056768
80886,"Senp3",10.8873729511468,10.6933889449961,10.5066113135505,10.5386497059034,10.5431980058644
80888,"Hspb8",10.1139008472664,10.1301844196865,10.0211795279966,10.0509794648066,10.48054409409
80889,"Tlnrd1",7.85506311836762,7.42132850943783,7.85549144310187,7.75296596926566,7.57217913286821
80890,"Trim2",8.41309160507446,8.80204366350917,8.68138824614419,8.87217604432814,8.2432727781378
80891,"Fcrls",7.71192503546306,7.49220370876691,8.12580089250799,7.7769264583314,7.82205292918058
80892,"Zfhx4",7.09368164914815,7.30611866678033,6.83533988171231,7.08911939791517,6.99067128397527
