Name,Gene
mSE_10028,Ier2
mSE_10029,Mybl2
mSE_10030,Stoml1
mSE_10031,Mkrn1
mSE_10032,Mir145
mSE_10033,Fbxo36
mSE_10034,1110012J17Rik
mSE_10035,Pum1
mSE_10036,Macf1
mSE_10037,Zmynd8
mSE_10038,Eif4ebp1
mSE_10039,Med13l
mSE_10040,Epha2
mSE_10041,Klf9
mSE_10042,Akap12
mSE_10043,Cenpv
mSE_10044,Hspa8
mSE_10045,Bat2l
mSE_10046,Pim1
mSE_10047,Actn4
mSE_10048,Acot11
mSE_10049,Rpl7l1
mSE_10050,Igf2bp1
mSE_10051,Bcat2
mSE_10052,Sall1
mSE_10053,Ssr2
mSE_10054,Ppap2b
mSE_10055,Tet1
mSE_10056,Etv5
mSE_10057,Fam134b
mSE_10058,Jarid2
mSE_10059,Plekhg6
mSE_10060,Lasp1
mSE_10061,Chd9
mSE_10062,Ppp2r5c
mSE_10063,Cldn4
mSE_10064,Klf5
mSE_10065,Tns3
mSE_10066,Malat1
mSE_10067,Sema4b
mSE_10068,6430527G18Rik
mSE_10069,Dlc1
mSE_10070,Tgif1
mSE_10071,Hsp90aa1
mSE_10072,Klf4
mSE_10073,Tmem131
mSE_10074,Neat1
mSE_10075,Manba
mSE_10076,Gnpda1
mSE_10077,Eef1a1
mSE_10078,Cisd3
mSE_10079,Srcrb4d
mSE_10080,Ctbp2
mSE_10081,Plekhf2
mSE_10082,Sgk1
mSE_10083,Rbm9
mSE_10084,Smarcad1
mSE_10085,Mrpl45
mSE_10086,Lrrc2
mSE_10087,Dppa5a
mSE_10088,Pipox
mSE_10089,5830416P10Rik
mSE_10090,Cacng7
mSE_10091,Rbpms2
mSE_10092,Hspg2
mSE_10093,Pou5f1
mSE_10094,Fam60a
mSE_10095,Col18a1
mSE_10096,Klf2
mSE_10097,Klf9
mSE_10098,6430573F11Rik
mSE_10099,Gpa33
mSE_10100,C77080
mSE_10101,Pigv
mSE_10102,2810008D09Rik
mSE_10103,Slc6a6
mSE_10104,Tcfcp2l1
mSE_10105,Sox2
mSE_10106,Phc1
mSE_10107,Rbpj
mSE_10108,Mt1
mSE_10109,Tuba1a
mSE_10110,Fnbp1
mSE_10111,Usp7
mSE_10112,Lamc2
mSE_10113,Cdt1
mSE_10114,Helz
mSE_10115,Bcar1
mSE_10116,Rps6ka1
mSE_10117,Ccnd3
mSE_10118,Zfhx2
mSE_10119,Tmem17
mSE_10120,Slc2a1
mSE_10121,Tsc22d1
mSE_10122,Jup
mSE_10123,Amigo2
mSE_10124,Gtf2e2
mSE_10125,Mreg
mSE_10126,Msi2
mSE_10127,Rarg
mSE_10128,Mapt
mSE_10129,Zfp13
mSE_10130,Tet2
